#Chrom	Start	End	TranscriptID	2-cell	Morula	ICM	TE	Score
chr10	127956462	127960462	TU10422	0	0	0	0	0
chr10	127955939	127959939	TU10423	0	0	0	0	0
chr10	127464076	127468076	TU10427	1	0	1	0	2
chr10	127371131	127375131	TU10428	0	0	0	0	0
chr10	123534199	123538199	TU10436	0	0	0	0	0
chr10	120179990	120183990	TU10443	0	-1	-1	0	2
chr10	128595624	128599624	TU10446	0	0	0	0	0
chr10	128594619	128598619	TU10447	0	0	0	0	0
chr10	128511356	128515356	TU10453	1	0	0	0	1
chr10	128614645	128618645	TU10454	0	0	-1	0	1
chr10	120190512	120194512	TU10455	0	0	0	0	0
chr10	128673849	128677849	TU10457	0	0	0	1	1
chr1	16823105	16827105	TU1047	0	0	0	0	0
chr1	16823105	16827105	TU1048	0	0	0	0	0
chr10	115326219	115330219	TU10490	0	0	-1	0	1
chr10	127670189	127674189	TU10494	1	-1	0	-1	1
chr10	127674761	127678761	TU10496	0	0	0	0	0
chr10	128687996	128691996	TU10499	0	-1	0	0	1
chr10	128687996	128691996	TU10501	0	-1	0	0	1
chr10	115597766	115601766	TU10504	0	0	0	0	0
chr10	128912920	128916920	TU10505	0	0	0	0	0
chr10	115597766	115601766	TU10506	0	0	0	0	0
chr10	128966600	128970600	TU10515	0	-1	0	0	1
chr10	129508488	129512488	TU10521	0	1	0	1	2
chr10	128764605	128768605	TU10522	1	-1	-1	0	1
chr10	129998364	130002364	TU10557	0	0	-1	0	1
chr11	3119186	3123186	TU10584	1	0	0	0	1
chr1	44538137	44542137	TU1059	0	0	0	0	0
chr11	3314837	3318837	TU10595	0	0	0	0	0
chr11	3538896	3542896	TU10612	0	0	0	0	0
chr11	3544930	3548930	TU10616	0	0	0	0	0
chr1	45770125	45774125	TU1062	0	0	0	0	0
chr11	3597442	3601442	TU10620	-1	0	0	0	1
chr11	3646392	3650392	TU10626	0	0	0	0	0
chr10	130540116	130544116	TU10630	0	1	-1	-1	0
chr10	130540116	130544116	TU10631	0	0	-1	0	1
chr10	130540116	130544116	TU10632	0	0	-1	0	1
chr11	3693056	3697056	TU10633	0	0	0	0	0
chr11	3637807	3641807	TU10638	0	0	1	1	1
chr11	4025337	4029337	TU10653	0	0	0	0	0
chr1	39547512	39551512	TU1068	0	0	-1	0	1
chr11	4129992	4133992	TU10682	0	0	0	0	0
chr1	39573221	39577221	TU1069	0	0	-1	0	1
chr11	4014890	4018890	TU10692	0	1	1	0	2
chr11	4014116	4018116	TU10695	0	1	0	0	1
chr1	10886347	10890347	TU107	1	0	0	0	1
chr1	45734872	45738872	TU1070	1	1	0	0	2
chr10	128210843	128214843	TU10700	1	0	0	0	1
chr10	128199742	128203742	TU10701	0	0	0	0	0
chr1	45732637	45736637	TU1071	0	1	0	0	1
chr10	128192933	128196933	TU10719	-1	0	0	0	1
chr1	47741301	47745301	TU1073	0	0	0	0	0
chr1	47461797	47465797	TU1074	0	0	0	0	0
chr1	46054253	46058253	TU1075	-1	0	0	0	1
chr11	3645275	3649275	TU10751	0	0	1	0	1
chr11	3645275	3649275	TU10752	0	-1	1	0	1
chr11	4472016	4476016	TU10753	0	0	0	0	0
chr11	4321853	4325853	TU10754	0	0	0	0	0
chr11	4631805	4635805	TU10755	0	0	0	0	0
chr10	127648225	127652225	TU10756	0	0	0	0	0
chr1	46052089	46056089	TU1076	0	0	0	0	0
chr11	3145724	3149724	TU10760	-1	0	0	0	1
chr11	4625788	4629788	TU10764	0	0	0	0	0
chr11	4621055	4625055	TU10765	0	0	0	0	0
chr10	128899096	128903096	TU10766	-1	0	0	-1	2
chr10	128897086	128901086	TU10768	0	0	0	-1	1
chr10	128902629	128906629	TU10779	0	0	0	-1	1
chr10	128903560	128907560	TU10780	0	0	0	0	0
chr11	5048431	5052431	TU10782	0	0	0	0	0
chr11	4963015	4967015	TU10784	0	0	0	0	0
chr11	4954343	4958343	TU10786	0	0	0	0	0
chr1	43560405	43564405	TU1079	0	0	-1	-1	1
chr11	5182074	5186074	TU10794	0	0	0	0	0
chr11	3455193	3459193	TU10799	0	0	0	-1	1
chr11	4493447	4497447	TU10802	0	0	-1	0	1
chr11	3618386	3622386	TU10805	0	0	0	0	0
chr11	3618386	3622386	TU10807	0	0	0	0	0
chr11	3618386	3622386	TU10808	0	0	0	0	0
chr11	3618386	3622386	TU10809	0	0	0	0	0
chr11	3633094	3637094	TU10810	0	0	1	0	1
chr11	3618386	3622386	TU10811	0	0	0	0	0
chr11	3618386	3622386	TU10814	0	0	0	0	0
chr11	3618386	3622386	TU10816	0	0	0	0	0
chr11	3618386	3622386	TU10818	0	0	0	0	0
chr11	3618386	3622386	TU10821	0	0	0	0	0
chr10	128444300	128448300	TU10823	0	0	0	0	0
chr11	5476239	5480239	TU10826	0	0	0	0	0
chr11	3145724	3149724	TU10832	0	0	0	0	0
chr11	4689849	4693849	TU10835	0	0	0	0	0
chr11	4221586	4225586	TU10836	0	0	0	0	0
chr11	4229193	4233193	TU10837	0	0	0	0	0
chr11	3183564	3187564	TU10839	0	0	0	-1	1
chr1	47747628	47751628	TU1084	0	0	0	0	0
chr11	4250771	4254771	TU10846	0	0	0	0	0
chr1	47747628	47751628	TU1085	0	0	0	0	0
chr11	5496498	5500498	TU10860	0	0	0	0	0
chr11	3614563	3618563	TU10861	0	0	0	0	0
chr11	5496498	5500498	TU10862	0	0	0	0	0
chr11	3618536	3622536	TU10863	0	0	0	0	0
chr11	5484011	5488011	TU10864	0	0	0	0	0
chr11	3618536	3622536	TU10865	0	0	0	0	0
chr11	3618536	3622536	TU10866	0	0	0	0	0
chr11	3618536	3622536	TU10867	0	0	0	0	0
chr11	4689776	4693776	TU10868	1	-1	0	-1	1
chr11	4693676	4697676	TU10869	0	0	0	0	0
chr11	4693676	4697676	TU10870	1	0	0	0	1
chr1	49295606	49299606	TU1088	0	0	0	0	0
chr11	5649558	5653558	TU10889	0	0	0	0	0
chr11	5649558	5653558	TU10891	0	0	0	0	0
chr1	10876615	10880615	TU109	0	0	0	0	0
chr1	49295606	49299606	TU1090	0	0	0	0	0
chr11	4788116	4792116	TU10906	0	1	-1	-1	0
chr10	130574466	130578466	TU10908	0	1	0	0	1
chr10	130574466	130578466	TU10909	0	1	0	0	1
chr11	5260030	5264030	TU10910	0	0	0	0	0
chr10	130574466	130578466	TU10911	1	0	1	-1	2
chr10	130574466	130578466	TU10912	0	1	0	0	1
chr11	4250776	4254776	TU10918	0	0	0	0	0
chr11	4250776	4254776	TU10919	0	0	0	0	0
chr1	50280784	50284784	TU1092	0	0	0	1	1
chr11	4250776	4254776	TU10920	0	0	0	0	0
chr11	4250776	4254776	TU10921	0	0	0	0	0
chr11	4250776	4254776	TU10922	0	0	0	0	0
chr11	4250776	4254776	TU10923	0	0	0	0	0
chr11	4863391	4867391	TU10924	0	0	0	0	0
chr11	4850886	4854886	TU10925	-1	0	-1	0	2
chr11	4863391	4867391	TU10926	0	0	0	0	0
chr11	4863391	4867391	TU10927	0	-1	0	0	1
chr11	4880684	4884684	TU10929	0	0	0	0	0
chr1	49934298	49938298	TU1093	0	0	0	0	0
chr11	4870108	4874108	TU10939	0	0	0	0	0
chr1	50280784	50284784	TU1094	0	0	0	0	0
chr11	6045827	6049827	TU10942	0	1	0	0	1
chr11	6228334	6232334	TU10948	0	0	0	0	0
chr1	50280784	50284784	TU1095	0	0	0	0	0
chr11	6374799	6378799	TU10969	0	0	0	0	0
chr1	51257390	51261390	TU1097	0	0	0	0	0
chr11	5554356	5558356	TU10970	0	-1	0	1	1
chr11	6370305	6374305	TU10971	0	0	0	0	0
chr11	6371666	6375666	TU10972	-1	1	0	1	1
chr11	6379638	6383638	TU10973	0	0	0	0	0
chr11	6406796	6410796	TU10978	0	0	0	0	0
chr11	5557742	5561742	TU10979	0	0	0	0	0
chr11	6419400	6423400	TU10980	-1	0	0	0	1
chr11	6419073	6423073	TU10982	0	0	0	0	0
chr11	5514608	5518608	TU10991	0	0	0	0	0
chr11	5591844	5595844	TU10994	0	0	0	0	0
chr1	48426824	48430824	TU1100	0	-1	0	0	1
chr11	6453432	6457432	TU11001	0	0	-1	0	1
chr1	48426824	48430824	TU1101	0	0	0	0	0
chr11	6986190	6990190	TU11012	0	0	0	0	0
chr11	6743020	6747020	TU11017	1	0	0	1	2
chr1	47151132	47155132	TU1103	0	0	0	0	0
chr11	6488767	6492767	TU11036	0	0	0	0	0
chr11	6488767	6492767	TU11037	0	0	0	0	0
chr11	6490905	6494905	TU11038	0	0	1	-1	1
chr1	47151132	47155132	TU1104	0	0	0	0	0
chr11	6488767	6492767	TU11040	0	0	0	0	0
chr11	6488767	6492767	TU11042	0	0	0	0	0
chr11	5698070	5702070	TU11050	0	0	-1	-1	1
chr11	7390014	7394014	TU11051	0	0	0	0	0
chr11	5698070	5702070	TU11053	1	-1	-1	0	1
chr11	7614557	7618557	TU11055	-1	0	0	0	1
chr11	6499603	6503603	TU11059	0	-1	0	0	1
chr1	47151132	47155132	TU1106	0	0	0	0	0
chr11	7186635	7190635	TU11060	0	0	0	0	0
chr11	6499603	6503603	TU11061	0	0	0	0	0
chr11	7626441	7630441	TU11062	0	0	0	0	0
chr11	7629701	7633701	TU11063	-1	0	0	0	1
chr1	47283280	47287280	TU1107	0	0	0	0	0
chr1	47151132	47155132	TU1108	0	0	0	0	0
chr11	4650661	4654661	TU11084	0	0	-1	1	1
chr11	7789242	7793242	TU11091	0	0	0	0	0
chr11	7789242	7793242	TU11092	0	0	0	0	0
chr11	7789242	7793242	TU11093	0	0	0	0	0
chr1	47151132	47155132	TU1110	-1	0	0	0	1
chr11	7837058	7841058	TU11103	0	0	0	0	0
chr11	7836061	7840061	TU11104	0	0	0	0	0
chr11	8397882	8401882	TU11105	0	0	0	0	0
chr11	7834803	7838803	TU11106	0	0	0	0	0
chr11	8397882	8401882	TU11107	0	0	0	0	0
chr11	7842668	7846668	TU11108	0	0	0	0	0
chr1	47249887	47253887	TU1111	0	0	0	0	0
chr11	7588253	7592253	TU11115	-1	0	0	0	1
chr11	7588253	7592253	TU11116	0	-1	-1	1	2
chr11	7582052	7586052	TU11119	0	0	0	0	0
chr1	47187740	47191740	TU1112	-1	0	0	0	1
chr11	7582052	7586052	TU11120	0	0	0	0	0
chr11	7604146	7608146	TU11121	-1	0	0	0	1
chr11	8710705	8714705	TU11123	0	0	0	0	0
chr11	8669696	8673696	TU11137	0	0	0	0	0
chr11	8669696	8673696	TU11139	0	0	-1	0	1
chr11	8669696	8673696	TU11141	0	0	0	0	0
chr11	8669696	8673696	TU11143	0	0	0	0	0
chr11	8669696	8673696	TU11145	0	0	0	0	0
chr11	8668232	8672232	TU11146	0	0	0	-1	1
chr11	10433963	10437963	TU11148	1	0	-1	-1	0
chr11	10725338	10729338	TU11149	0	0	0	0	0
chr11	11664801	11668801	TU11163	0	0	0	0	0
chr11	10176024	10180024	TU11172	0	-1	-1	0	2
chr11	10176024	10180024	TU11174	0	0	0	0	0
chr11	10176024	10180024	TU11176	0	0	0	0	0
chr11	9792643	9796643	TU11179	0	0	0	0	0
chr11	9792643	9796643	TU11180	0	0	0	0	0
chr11	9792643	9796643	TU11181	0	0	0	0	0
chr11	10921553	10925553	TU11182	0	0	0	0	0
chr11	10921553	10925553	TU11183	0	0	0	0	0
chr11	5779876	5783876	TU11189	0	0	0	0	0
chr11	5780337	5784337	TU11190	0	0	0	0	0
chr11	10819212	10823212	TU11191	0	0	0	0	0
chr11	10819212	10823212	TU11193	0	0	0	0	0
chr11	12580943	12584943	TU11202	0	0	0	0	0
chr11	12782001	12786001	TU11204	0	0	0	0	0
chr11	12509012	12513012	TU11208	0	1	0	1	2
chr11	6526765	6530765	TU11210	-1	0	0	0	1
chr11	8074478	8078478	TU11212	0	0	-1	0	1
chr11	6526168	6530168	TU11213	0	0	0	0	0
chr11	8078726	8082726	TU11214	0	0	0	0	0
chr11	8079516	8083516	TU11215	0	0	0	0	0
chr11	8078726	8082726	TU11216	0	0	0	0	0
chr11	8074478	8078478	TU11217	0	0	0	0	0
chr11	8074478	8078478	TU11218	0	0	0	0	0
chr11	8079516	8083516	TU11219	0	0	0	0	0
chr11	8096917	8100917	TU11221	0	0	0	0	0
chr1	50710678	50714678	TU1123	0	0	0	0	0
chr11	11276550	11280550	TU11231	0	0	0	0	0
chr11	13952789	13956789	TU11233	0	0	0	0	0
chr11	13248366	13252366	TU11234	0	0	0	0	0
chr11	8137580	8141580	TU11236	0	0	0	0	0
chr11	13161369	13165369	TU11238	0	0	0	0	0
chr11	14262779	14266779	TU11239	-1	0	0	0	1
chr11	12954244	12958244	TU11240	1	1	1	0	3
chr11	12957209	12961209	TU11241	0	0	0	0	0
chr11	12957209	12961209	TU11242	0	0	1	0	1
chr11	11514071	11518071	TU11243	0	0	0	0	0
chr11	15885275	15889275	TU11245	0	0	0	0	0
chr11	16336513	16340513	TU11246	0	0	0	0	0
chr11	16047253	16051253	TU11247	0	0	0	0	0
chr11	16047253	16051253	TU11248	0	-1	0	0	1
chr11	9810005	9814005	TU11249	0	0	0	0	0
chr1	50710678	50714678	TU1125	0	0	0	0	0
chr11	9805695	9809695	TU11250	0	0	0	0	0
chr11	9805695	9809695	TU11252	0	0	0	0	0
chr11	9809179	9813179	TU11253	0	0	0	0	0
chr11	9805695	9809695	TU11254	0	0	0	0	0
chr11	15981836	15985836	TU11255	1	0	0	0	1
chr11	9810005	9814005	TU11256	0	0	0	0	0
chr11	9805695	9809695	TU11258	0	0	0	0	0
chr11	9805695	9809695	TU11259	0	0	0	0	0
chr1	48505771	48509771	TU1126	0	0	0	0	0
chr11	15027743	15031743	TU11265	0	1	0	0	1
chr11	15027743	15031743	TU11267	0	0	0	0	0
chr11	10951923	10955923	TU11269	0	0	0	0	0
chr11	10951923	10955923	TU11270	0	0	0	0	0
chr11	10951923	10955923	TU11271	0	0	0	0	0
chr11	10896499	10900499	TU11274	0	0	0	0	0
chr11	16955198	16959198	TU11277	0	0	1	1	1
chr11	16953788	16957788	TU11278	0	-1	0	0	1
chr11	16935485	16939485	TU11279	0	1	1	0	2
chr1	52429763	52433763	TU1128	0	0	0	0	0
chr11	16949091	16953091	TU11280	0	0	0	0	0
chr11	9877875	9881875	TU11282	0	0	0	0	0
chr11	9877875	9881875	TU11283	0	0	0	0	0
chr11	17665751	17669751	TU11285	0	0	0	0	0
chr11	17954634	17958634	TU11286	0	0	0	0	0
chr11	17978662	17982662	TU11292	0	0	0	0	0
chr11	18050481	18054481	TU11295	0	0	0	0	0
chr11	13966337	13970337	TU11296	-1	-1	0	0	2
chr11	13966337	13970337	TU11297	0	0	0	0	0
chr11	14020875	14024875	TU11299	0	0	0	0	0
chr1	51914267	51918267	TU1130	0	0	0	0	0
chr11	4893406	4897406	TU11305	0	0	1	-1	1
chr11	6147713	6151713	TU11311	0	0	1	0	1
chr11	17300428	17304428	TU11314	0	0	0	0	0
chr11	17350319	17354319	TU11315	1	0	0	0	1
chr11	18442055	18446055	TU11316	0	0	0	0	0
chr11	18165813	18169813	TU11317	0	0	0	0	0
chr11	18165813	18169813	TU11318	0	0	0	0	0
chr11	18832448	18836448	TU11321	0	1	-1	0	1
chr11	18068312	18072312	TU11323	1	0	0	0	1
chr11	18598106	18602106	TU11324	0	0	0	0	0
chr11	6197857	6201857	TU11329	0	0	0	0	0
chr11	18955745	18959745	TU11330	0	0	-1	-1	1
chr11	19070340	19074340	TU11334	1	0	0	0	1
chr11	19070340	19074340	TU11335	0	0	0	0	0
chr11	18099370	18103370	TU11338	0	0	0	0	0
chr11	18091626	18095626	TU11339	0	0	0	0	0
chr11	18100075	18104075	TU11341	0	0	0	0	0
chr11	18091626	18095626	TU11342	0	0	0	0	0
chr11	19491816	19495816	TU11343	0	0	0	0	0
chr11	8554964	8558964	TU11345	0	0	-1	0	1
chr1	51918745	51922745	TU1136	0	0	0	0	0
chr11	19411888	19415888	TU11375	0	0	0	0	0
chr11	19409406	19413406	TU11376	1	0	0	0	1
chr11	19154486	19158486	TU11379	0	-1	0	0	1
chr11	19154486	19158486	TU11380	0	0	0	0	0
chr11	19839559	19843559	TU11382	0	0	0	0	0
chr11	19839559	19843559	TU11384	0	0	0	0	0
chr11	19808787	19812787	TU11385	0	0	0	0	0
chr11	6571276	6575276	TU11390	1	0	0	0	1
chr11	19788087	19792087	TU11392	0	0	0	0	0
chr11	19191859	19195859	TU11393	0	0	0	0	0
chr11	19565609	19569609	TU11394	0	1	0	0	1
chr11	20189996	20193996	TU11396	0	0	0	0	0
chr11	19513859	19517859	TU11397	-1	0	0	1	1
chr11	19892165	19896165	TU11399	0	0	0	0	0
chr1	52368550	52372550	TU1140	0	0	0	-1	1
chr11	19892165	19896165	TU11400	-1	0	0	0	1
chr11	19892165	19896165	TU11401	0	0	0	0	0
chr11	19892165	19896165	TU11402	-1	0	0	0	1
chr11	19893236	19897236	TU11403	0	0	0	0	0
chr11	20668087	20672087	TU11404	0	0	0	0	0
chr1	51627655	51631655	TU1141	0	0	0	0	0
chr11	21195637	21199637	TU11417	0	0	0	0	0
chr11	20378123	20382123	TU11419	0	0	0	0	0
chr1	51588628	51592628	TU1142	1	0	1	0	2
chr11	21215354	21219354	TU11427	0	0	-1	1	1
chr11	21212079	21216079	TU11429	0	0	0	0	0
chr1	51588628	51592628	TU1143	1	0	0	0	1
chr11	21212079	21216079	TU11430	0	0	0	1	1
chr11	20160189	20164189	TU11437	0	0	0	0	0
chr11	20179282	20183282	TU11438	1	1	1	1	3
chr11	20718034	20722034	TU11439	0	0	0	0	0
chr11	20160189	20164189	TU11440	0	0	0	0	0
chr11	20747076	20751076	TU11441	0	0	0	0	0
chr11	11932804	11936804	TU11445	0	-1	1	0	1
