#Chrom	Start	End	TransposableElementTranscript	TransposableElementSymbol	Strand	2-cell	Morula	ICM	TE
chr1	8188046	8192046	TU115	G60	+	0	0	0	0
chr1	8194430	8198430	TU117	G60	+	-1	0	1	-1
chr1	8256442	8260442	TU33	G24	+	0	0	0	0
chr1	8710351	8714351	TU66	G39	+	0	0	0	0
chr1	8710351	8714351	TU68	G39	+	0	0	0	0
chr1	8795600	8799600	TU64	G39	+	0	0	0	0
chr1	8858995	8862995	TU32	G23	+	1	0	0	0
chr1	8934422	8938422	TU142	G76	+	0	0	0	0
chr1	8934422	8938422	TU143	G76	+	0	0	0	0
chr1	8934422	8938422	TU144	G76	+	0	0	0	0
chr1	8934422	8938422	TU147	G76	+	0	0	0	0
chr1	8934422	8938422	TU149	G76	+	0	0	0	0
chr1	8938548	8942548	TU148	G76	+	0	0	0	0
chr1	9235288	9239288	TU47	G33	+	0	0	1	0
chr1	9235288	9239288	TU48	G33	+	0	0	1	0
chr1	9235288	9239288	TU49	G33	+	0	0	1	0
chr1	9238147	9242147	TU80	G45	-	-1	0	0	0
chr1	9336284	9340284	TU37	G26	-	0	0	0	0
chr1	9378226	9382226	TU176	G93	+	0	0	0	0
chr1	9378226	9382226	TU178	G93	+	0	0	0	0
chr1	9407812	9411812	TU233	G93	+	0	0	0	0
chr1	9407812	9411812	TU235	G93	+	-1	0	0	0
chr1	9468538	9472538	TU250	G135	-	0	0	0	0
chr1	9468676	9472676	TU247	G135	-	0	0	0	0
chr1	9475514	9479514	TU38	G27	+	0	0	0	0
chr1	9699028	9703028	TU57	G38	+	0	0	0	0
chr1	9699309	9703309	TU56	G38	+	0	0	0	0
chr1	9748291	9752291	TU95	G50	+	0	0	0	0
chr1	9748291	9752291	TU98	G50	+	0	0	0	0
chr1	9769806	9773806	TU103	G55	-	-1	1	-1	-1
chr1	9782575	9786575	TU90	G46	+	0	0	0	0
chr1	10037234	10041234	TU959	G505	-	0	-1	-1	0
chr1	10357154	10361154	TU122	G66	+	0	0	0	0
chr1	10358039	10362039	TU121	G65	+	0	1	0	0
chr1	10499504	10503504	TU97	G52	+	0	0	0	0
chr1	10772293	10776293	TU92	G48	-	0	0	0	0
chr1	10876615	10880615	TU109	G57	+	0	0	0	0
chr1	10886347	10890347	TU107	G57	+	1	0	0	0
chr1	10887633	10891633	TU574	G305	+	0	0	0	0
chr1	10897034	10901034	TU579	G310	+	0	0	0	0
chr1	10946260	10950260	TU580	G311	+	0	0	0	0
chr1	10957870	10961870	TU575	G306	+	0	0	0	0
chr1	10977456	10981456	TU605	G327	+	0	0	0	0
chr1	11256630	11260630	TU771	G411	-	0	0	0	0
chr1	11261955	11265955	TU777	G415	-	0	0	0	1
chr1	11316823	11320823	TU100	G53	-	0	0	0	0
chr1	11387044	11391044	TU192	G100	-	0	0	0	0
chr1	11387947	11391947	TU188	G100	-	0	0	0	0
chr1	11387947	11391947	TU189	G100	-	0	0	0	0
chr1	11387947	11391947	TU190	G100	-	0	0	0	0
chr1	11387947	11391947	TU193	G100	-	0	0	0	0
chr1	11617462	11621462	TU177	G94	+	0	0	0	0
chr1	11622896	11626896	TU208	G112	-	0	1	0	0
chr1	11622896	11626896	TU209	G112	-	0	1	0	0
chr1	11774742	11778742	TU215	G117	-	0	0	0	0
chr1	12027249	12031249	TU139	G74	-	0	0	0	1
chr1	12030364	12034364	TU141	G74	-	0	0	0	0
chr1	12047918	12051918	TU138	G74	-	0	0	0	0
chr1	12400046	12404046	TU116	G61	+	0	1	0	0
chr1	12675579	12679579	TU120	G64	-	0	0	0	0
chr1	12803978	12807978	TU154	G82	-	0	0	0	0
chr1	13009746	13013746	TU151	G80	+	0	0	0	0
chr1	13060545	13064545	TU126	G69	-	-1	0	1	0
chr1	13064402	13068402	TU125	G69	-	0	0	0	0
chr1	13103273	13107273	TU228	G125	-	0	0	0	0
chr1	13104117	13108117	TU227	G124	-	0	0	0	0
chr1	13349938	13353938	TU300	G158	-	0	-1	0	0
chr1	13358585	13362585	TU211	G113	+	0	0	0	0
chr1	13378232	13382232	TU140	G75	+	0	0	0	0
chr1	13382617	13386617	TU161	G86	-	0	0	0	0
chr1	13382617	13386617	TU162	G86	-	0	0	0	0
chr1	13639296	13643296	TU305	G160	+	0	0	0	0
chr1	13639478	13643478	TU307	G160	+	0	0	0	0
chr1	13639719	13643719	TU308	G160	+	0	0	0	0
chr1	13643853	13647853	TU310	G160	+	0	1	0	0
chr1	13720533	13724533	TU171	G90	+	0	1	0	0
chr1	13767784	13771784	TU155	G83	+	0	0	0	0
chr1	13779529	13783529	TU153	G81	-	0	0	0	0
chr1	13915865	13919865	TU180	G96	+	0	0	0	0
chr1	13915865	13919865	TU182	G96	+	0	0	0	0
chr1	14723516	14727516	TU191	G101	-	0	0	0	0
chr1	14733847	14737847	TU160	G85	+	0	0	0	0
chr1	15433418	15437418	TU231	G128	-	0	0	0	0
chr1	15433418	15437418	TU232	G128	-	0	0	0	0
chr1	15637275	15641275	TU200	G107	-	0	0	0	0
chr1	15637275	15641275	TU201	G107	-	0	0	0	0
chr1	15792795	15796795	TU194	G102	+	0	0	1	0
chr1	15874130	15878130	TU212	G114	+	0	0	0	0
chr1	15895269	15899269	TU220	G122	+	0	0	0	0
chr1	15965382	15969382	TU187	G99	+	0	0	0	0
chr1	16001798	16005798	TU323	G171	+	0	0	0	0
chr1	16001798	16005798	TU325	G171	+	0	0	0	0
chr1	16018714	16022714	TU321	G171	+	0	0	0	0
chr1	16018714	16022714	TU326	G171	+	0	0	0	0
chr1	16056012	16060012	TU337	G179	-	0	0	0	0
chr1	16058541	16062541	TU336	G179	-	0	0	0	0
chr1	16092550	16096550	TU204	G111	+	0	0	0	0
chr1	16132344	16136344	TU213	G115	+	0	0	0	0
chr1	16251831	16255831	TU349	G185	+	0	0	0	0
chr1	16341300	16345300	TU719	G382	-	1	0	0	-1
chr1	16341300	16345300	TU720	G382	-	0	0	0	0
chr1	16381326	16385326	TU367	G194	+	0	0	0	0
chr1	16534712	16538712	TU376	G201	+	0	0	0	0
chr1	16629507	16633507	TU596	G319	-	0	0	0	-1
chr1	16638516	16642516	TU216	G118	-	0	-1	-1	0
chr1	16655616	16659616	TU656	G348	+	0	0	0	0
chr1	16679820	16683820	TU1029	G537	-	0	0	0	0
chr1	16683981	16687981	TU1026	G537	-	0	0	0	0
chr1	16683981	16687981	TU1028	G537	-	0	0	0	0
chr1	16687215	16691215	TU1027	G537	-	0	0	0	0
chr1	16687215	16691215	TU1030	G537	-	0	0	0	0
chr1	16687215	16691215	TU1031	G537	-	0	0	0	0
chr1	16711822	16715822	TU1039	G544	-	0	0	1	0
chr1	16765254	16769254	TU689	G367	+	0	0	0	0
chr1	16812080	16816080	TU739	G396	+	0	0	0	0
chr1	16812080	16816080	TU764	G396	+	0	0	0	0
chr1	16812080	16816080	TU827	G396	+	0	0	0	0
chr1	16823105	16827105	TU1047	G546	-	0	0	0	0
chr1	16823105	16827105	TU1048	G546	-	0	0	0	0
chr1	16845985	16849985	TU741	G396	+	0	-1	0	0
chr1	16879448	16883448	TU217	G119	-	0	0	0	0
chr1	16889857	16893857	TU319	G169	+	0	0	0	0
chr1	16896429	16900429	TU375	G200	-	0	-1	1	0
chr1	16897864	16901864	TU320	G169	+	0	0	0	0
chr1	16897864	16901864	TU322	G169	+	0	0	0	0
chr1	16939756	16943756	TU415	G222	-	0	1	1	0
chr1	16942621	16946621	TU417	G224	-	0	0	0	0
chr1	17096118	17100118	TU229	G126	+	0	0	0	0
chr1	17101178	17105178	TU243	G132	-	0	0	0	0
chr1	17166374	17170374	TU258	G139	+	0	0	0	0
chr1	17166374	17170374	TU261	G139	+	0	0	0	0
chr1	17432140	17436140	TU285	G149	-	0	0	0	0
chr1	17432140	17436140	TU286	G149	-	0	0	0	0
chr1	17671323	17675323	TU275	G145	-	0	0	1	0
chr1	18004794	18008794	TU290	G152	-	0	0	0	0
chr1	18032876	18036876	TU289	G152	-	0	0	0	0
chr1	18156018	18160018	TU294	G156	-	0	0	0	0
chr1	18649918	18653918	TU279	G147	-	0	0	0	0
chr1	19022171	19026171	TU296	G157	+	0	0	0	0
chr1	19286944	19290944	TU291	G153	+	0	0	0	0
chr1	19307783	19311783	TU292	G154	+	1	0	0	0
chr1	19968093	19972093	TU304	G161	+	0	0	0	0
chr1	20835006	20839006	TU332	G177	-	0	0	0	0
chr1	20835939	20839939	TU333	G177	-	0	0	0	0
chr1	21191857	21195857	TU341	G181	-	0	-1	0	0
chr1	21191857	21195857	TU342	G181	-	0	1	-1	1
chr1	21199927	21203927	TU340	G181	-	0	0	0	0
chr1	21200209	21204209	TU339	G181	-	0	0	0	0
chr1	21254002	21258002	TU542	G288	-	0	0	1	0
chr1	21254002	21258002	TU544	G288	-	0	0	0	-1
chr1	21254496	21258496	TU540	G288	-	0	0	0	0
chr1	21254496	21258496	TU541	G288	-	0	0	0	0
chr1	21254496	21258496	TU543	G288	-	0	0	0	0
chr1	21284270	21288270	TU518	G276	-	1	0	0	0
chr1	21284270	21288270	TU524	G276	-	0	0	0	0
chr1	21288170	21292170	TU528	G276	-	1	-1	1	0
chr1	21289446	21293446	TU517	G276	-	0	0	1	0
chr1	21290613	21294613	TU406	G218	+	0	0	0	0
chr1	21290613	21294613	TU407	G218	+	1	1	0	1
chr1	21290613	21294613	TU409	G218	+	0	0	0	0
chr1	21290613	21294613	TU411	G218	+	0	0	0	0
chr1	21296340	21300340	TU520	G276	-	0	0	0	0
chr1	21296340	21300340	TU529	G276	-	0	0	0	0
chr1	21314889	21318889	TU538	G286	-	0	1	0	1
chr1	21318055	21322055	TU405	G218	+	0	0	1	0
chr1	21329996	21333996	TU510	G276	-	0	0	0	0
chr1	21329996	21333996	TU512	G276	-	0	0	0	0
chr1	21329996	21333996	TU514	G276	-	0	0	0	0
chr1	21343949	21347949	TU961	G506	-	0	0	0	-1
chr1	21344108	21348108	TU465	G255	+	0	-1	0	1
chr1	21358426	21362426	TU657	G349	+	0	-1	0	1
chr1	21360440	21364440	TU638	G342	+	0	-1	-1	0
chr1	21369993	21373993	TU867	G454	+	0	0	0	0
chr1	21370342	21374342	TU852	G454	+	0	0	0	0
chr1	21370342	21374342	TU855	G454	+	0	0	0	0
chr1	21370342	21374342	TU857	G454	+	0	0	0	0
chr1	21370342	21374342	TU859	G454	+	0	0	0	0
chr1	21370342	21374342	TU866	G454	+	0	0	0	0
chr1	21375956	21379956	TU1002	G525	-	0	0	0	0
chr1	21376799	21380799	TU862	G454	+	0	-1	0	0
chr1	21387867	21391867	TU359	G188	+	0	0	0	0
chr1	21388281	21392281	TU353	G188	+	0	0	0	0
chr1	21388860	21392860	TU355	G188	+	-1	0	0	0
chr1	21898070	21902070	TU391	G208	+	0	0	0	0
chr1	21964047	21968047	TU413	G220	-	0	0	0	0
chr1	22836165	22840165	TU387	G207	+	0	-1	0	1
chr1	22836165	22840165	TU388	G207	+	0	0	0	0
chr1	22836165	22840165	TU389	G207	+	0	0	0	0
chr1	22836165	22840165	TU390	G207	+	0	0	0	0
chr1	22836165	22840165	TU392	G207	+	0	0	0	0
chr1	22896422	22900422	TU466	G256	+	0	0	0	0
chr1	23254279	23258279	TU410	G219	+	0	0	0	0
chr1	23255125	23259125	TU408	G219	+	0	0	0	0
chr1	23255125	23259125	TU412	G219	+	0	-1	0	1
chr1	23655640	23659640	TU371	G197	-	0	0	0	0
chr1	23842643	23846643	TU437	G238	-	0	0	1	0
chr1	23842643	23846643	TU439	G238	-	0	0	0	0
chr1	23842643	23846643	TU441	G238	-	0	0	0	0
chr1	23925815	23929815	TU396	G210	+	0	1	0	0
chr1	23925815	23929815	TU397	G210	+	0	0	1	0
chr1	23942359	23946359	TU373	G198	-	0	0	0	0
chr1	23947547	23951547	TU386	G206	+	0	0	-1	0
chr1	23961258	23965258	TU382	G204	+	0	0	0	0
chr1	23975808	23979808	TU429	G232	+	0	0	0	0
chr1	24660231	24664231	TU385	G205	-	0	0	0	0
chr1	24681852	24685852	TU798	G425	+	-1	1	0	0
chr1	24814573	24818573	TU398	G211	-	1	0	0	0
chr1	25008668	25012668	TU399	G212	-	0	0	0	0
chr1	25013386	25017386	TU419	G225	-	0	0	0	0
chr1	25060068	25064068	TU403	G216	-	0	0	0	0
chr1	25477086	25481086	TU416	G223	+	0	0	0	0
chr1	25481001	25485001	TU418	G223	+	0	0	0	0
chr1	26303004	26307004	TU425	G229	+	0	0	0	0
chr1	26307722	26311722	TU433	G235	+	0	0	0	0
chr1	26331827	26335827	TU424	G229	+	0	0	0	0
chr1	27524433	27528433	TU414	G221	+	0	0	0	0
chr1	28621040	28625040	TU423	G228	+	0	0	0	1
chr1	29482511	29486511	TU452	G244	+	0	0	0	0
chr1	29596351	29600351	TU458	G249	+	0	0	0	0
chr1	29597417	29601417	TU457	G249	+	-1	0	0	0
chr1	29610858	29614858	TU467	G257	+	-1	0	0	0
chr1	29642921	29646921	TU623	G335	-	0	0	0	0
chr1	29642921	29646921	TU626	G335	-	0	0	0	0
chr1	29642921	29646921	TU628	G335	-	0	0	0	0
chr1	29647706	29651706	TU625	G335	-	-1	0	0	0
chr1	29647706	29651706	TU627	G335	-	0	0	0	0
chr1	29986705	29990705	TU442	G239	+	0	0	0	0
chr1	29986864	29990864	TU440	G239	+	0	0	0	1
chr1	29997969	30001969	TU435	G237	+	0	0	0	0
chr1	29997969	30001969	TU436	G237	+	0	0	0	0
chr1	29997969	30001969	TU438	G237	+	0	1	0	1
chr1	30265526	30269526	TU448	G243	-	0	0	0	0
chr1	30297191	30301191	TU431	G233	+	0	0	0	0
chr1	30614438	30618438	TU447	G242	+	0	0	0	0
chr1	30614438	30618438	TU450	G242	+	0	0	0	0
chr1	30681757	30685757	TU475	G263	-	0	0	0	0
chr1	30740160	30744160	TU434	G236	-	0	0	0	0
chr1	30890810	30894810	TU455	G247	+	0	0	0	0
chr1	30894937	30898937	TU482	G265	-	0	1	-1	0
chr1	30897279	30901279	TU483	G265	-	0	0	0	0
chr1	30898730	30902730	TU481	G265	-	0	0	0	0
chr1	30898915	30902915	TU479	G265	-	0	0	0	0
chr1	30927429	30931429	TU443	G240	-	0	-1	0	0
chr1	30935154	30939154	TU459	G250	-	0	0	0	0
chr1	30935154	30939154	TU461	G250	-	0	0	0	0
chr1	30987183	30991183	TU456	G248	-	-1	1	0	0
chr1	31036411	31040411	TU530	G281	+	0	0	-1	0
chr1	31067549	31071549	TU531	G282	+	0	0	0	0
chr1	31067549	31071549	TU532	G282	+	0	0	0	0
chr1	31136208	31140208	TU533	G283	+	0	0	0	0
chr1	31255965	31259965	TU454	G246	-	0	0	0	0
chr1	31262811	31266811	TU477	G264	+	0	0	0	0
chr1	31264312	31268312	TU478	G264	+	0	0	0	0
chr1	31270342	31274342	TU480	G266	+	0	0	0	0
chr1	31282657	31286657	TU464	G254	+	0	0	0	0
chr1	31283954	31287954	TU463	G254	+	0	0	0	0
chr1	31963369	31967369	TU469	G259	-	0	0	0	0
chr1	31963369	31967369	TU470	G259	-	0	0	0	0
chr1	32069679	32073679	TU474	G262	+	0	0	0	0
chr1	32219431	32223431	TU509	G275	-	0	0	0	0
chr1	32874430	32878430	TU499	G271	-	0	0	0	0
chr1	32876776	32880776	TU497	G271	-	0	0	0	0
chr1	32879626	32883626	TU492	G271	-	0	0	0	0
chr1	32888100	32892100	TU495	G271	-	0	0	0	0
chr1	33209727	33213727	TU583	G314	-	0	0	0	0
chr1	33209727	33213727	TU586	G314	-	0	0	0	0
chr1	33209727	33213727	TU587	G314	-	0	0	0	0
chr1	33351924	33355924	TU468	G258	+	0	0	0	0
chr1	33833075	33837075	TU507	G274	-	0	0	0	0
chr1	33932031	33936031	TU589	G316	-	0	0	1	1
chr1	34033501	34037501	TU490	G270	+	0	0	0	0
chr1	34355398	34359398	TU551	G293	+	0	0	0	0
chr1	34356689	34360689	TU612	G330	-	0	0	0	0
chr1	34356689	34360689	TU613	G330	-	0	0	0	1
chr1	34359658	34363658	TU546	G290	+	0	0	0	0
chr1	34360317	34364317	TU548	G290	+	0	0	0	0
chr1	34375813	34379813	TU621	G334	-	0	0	0	0
chr1	34426578	34430578	TU506	G273	-	0	0	0	0
chr1	34426578	34430578	TU508	G273	-	0	0	0	0
chr1	34445284	34449284	TU562	G298	+	0	0	0	0
chr1	34457623	34461623	TU521	G278	-	0	0	0	0
chr1	34480790	34484790	TU522	G279	-	0	0	0	0
chr1	34619973	34623973	TU709	G376	-	0	0	0	0
chr1	34634065	34638065	TU752	G398	-	0	0	0	0
chr1	34640502	34644502	TU774	G413	-	-1	0	0	0
chr1	34641127	34645127	TU773	G413	-	0	0	0	0
chr1	34641127	34645127	TU776	G413	-	0	0	0	0
chr1	34657833	34661833	TU550	G292	-	0	0	0	0
chr1	34657833	34661833	TU552	G292	-	0	0	0	0
chr1	34657833	34661833	TU554	G292	-	0	0	0	0
chr1	34732419	34736419	TU549	G291	-	-1	0	0	0
chr1	34788898	34792898	TU557	G296	-	0	0	0	0
chr1	34838202	34842202	TU749	G397	+	0	0	0	0
chr1	34960235	34964235	TU565	G301	+	0	0	0	0
chr1	35172970	35176970	TU588	G315	+	0	0	0	0
chr1	35205292	35209292	TU609	G328	+	0	0	0	0
chr1	35213835	35217835	TU607	G328	+	0	0	-1	0
chr1	35214597	35218597	TU610	G328	+	0	0	1	0
chr1	35214887	35218887	TU611	G328	+	0	0	-1	-1
chr1	35220042	35224042	TU617	G333	-	0	0	0	0
chr1	35298805	35302805	TU566	G302	-	0	0	0	0
chr1	35320151	35324151	TU616	G332	+	0	0	0	0
chr1	35320151	35324151	TU618	G332	+	0	0	0	0
chr1	35320151	35324151	TU619	G332	+	0	0	0	0
chr1	35320151	35324151	TU620	G332	+	0	0	0	0
chr1	35320151	35324151	TU622	G332	+	0	0	0	0
chr1	35326040	35330040	TU615	G332	+	-1	0	0	0
chr1	35651588	35655588	TU578	G309	-	0	0	0	0
chr1	35893758	35897758	TU592	G318	-	0	0	0	0
chr1	35950737	35954737	TU582	G313	+	0	0	0	0
chr1	35964239	35968239	TU600	G322	-	0	0	0	0
chr1	35982577	35986577	TU711	G378	-	0	0	0	0
chr1	35983547	35987547	TU660	G352	+	0	0	0	0
chr1	35984366	35988366	TU665	G352	+	0	0	0	0
chr1	35984420	35988420	TU713	G378	-	0	0	0	0
chr1	35985584	35989584	TU662	G352	+	0	0	1	0
chr1	35991526	35995526	TU663	G352	+	0	0	1	0
chr1	35991526	35995526	TU667	G352	+	0	0	0	0
chr1	35992638	35996638	TU730	G388	-	0	0	0	0
chr1	36006211	36010211	TU676	G359	+	0	0	0	0
chr1	36008922	36012922	TU687	G365	+	0	0	1	0
chr1	36058237	36062237	TU602	G324	-	0	0	0	0
chr1	36122365	36126365	TU603	G325	+	0	1	0	1
chr1	36216286	36220286	TU708	G375	+	0	0	0	0
chr1	36248500	36252500	TU608	G329	+	0	0	0	0
chr1	36276380	36280380	TU705	G373	+	0	0	1	0
chr1	36276380	36280380	TU706	G373	+	0	0	0	0
chr1	36276380	36280380	TU707	G373	+	0	0	0	0
chr1	36284127	36288127	TU698	G371	+	0	0	0	0
chr1	36284127	36288127	TU701	G371	+	0	0	0	0
chr1	36284127	36288127	TU703	G371	+	0	0	0	0
chr1	36463891	36467891	TU652	G346	-	0	0	0	-1
chr1	36464337	36468337	TU654	G346	-	0	0	0	0
chr1	36466534	36470534	TU655	G346	-	0	0	0	0
chr1	36538222	36542222	TU673	G357	+	0	0	0	0
chr1	36538618	36542618	TU671	G357	+	0	0	1	1
chr1	36596423	36600423	TU661	G353	+	0	0	0	1
chr1	36684537	36688537	TU669	G356	+	-1	0	0	0
chr1	36684537	36688537	TU670	G356	+	0	0	0	0
chr1	36749893	36753893	TU725	G385	-	0	0	0	0
chr1	36968769	36972769	TU769	G374	+	0	0	0	0
chr1	36977236	36981236	TU775	G414	-	0	0	0	0
chr1	37064352	37068352	TU737	G394	-	0	0	0	0
chr1	37282902	37286902	TU770	G410	-	0	0	0	0
chr1	37601871	37605871	TU768	G409	-	0	0	0	0
chr1	37683035	37687035	TU800	G427	+	0	0	0	0
chr1	37683035	37687035	TU802	G427	+	0	0	0	0
chr1	37683881	37687881	TU803	G427	+	-1	0	0	0
chr1	37687967	37691967	TU834	G443	-	0	0	0	-1
chr1	37797111	37801111	TU910	G476	+	0	0	0	0
chr1	37932459	37936459	TU785	G418	+	0	0	0	0
chr1	37933531	37937531	TU786	G418	+	0	0	0	0
chr1	37933531	37937531	TU787	G418	+	0	0	0	0
chr1	37968829	37972829	TU779	G416	-	0	0	0	0
chr1	38091358	38095358	TU899	G471	+	0	-1	0	0
chr1	38454242	38458242	TU1235	G634	-	0	0	0	0
chr1	38602240	38606240	TU821	G437	+	0	0	0	0
chr1	38603754	38607754	TU822	G437	+	1	0	0	0
chr1	38628676	38632676	TU814	G434	+	0	0	0	0
chr1	39135489	39139489	TU835	G444	+	0	0	0	0
chr1	39454248	39458248	TU847	G451	+	0	0	0	0
chr1	39485565	39489565	TU856	G455	-	0	-1	0	0
chr1	39508129	39512129	TU853	G455	-	0	0	0	0
chr1	39547512	39551512	TU1068	G560	-	0	0	-1	0
chr1	39573221	39577221	TU1069	G561	-	0	0	-1	0
chr1	39625678	39629678	TU863	G457	+	0	0	0	0
chr1	39831762	39835762	TU1003	G526	-	0	0	0	0
chr1	39831762	39835762	TU1006	G526	-	0	0	0	0
chr1	39831762	39835762	TU1007	G526	-	0	0	0	0
chr1	39831762	39835762	TU1009	G526	-	0	0	0	0
chr1	39836053	39840053	TU1008	G526	-	0	0	0	0
chr1	40881739	40885739	TU962	G507	+	0	0	0	0
chr1	40881739	40885739	TU963	G507	+	0	0	0	0
chr1	40881739	40885739	TU966	G507	+	0	0	0	0
chr1	40888617	40892617	TU965	G507	+	0	0	0	0
chr1	40888617	40892617	TU968	G507	+	0	0	0	0
chr1	40888617	40892617	TU969	G507	+	0	0	0	0
chr1	40901995	40905995	TU974	G513	-	0	0	0	0
chr1	40904927	40908927	TU991	G519	-	0	0	0	0
chr1	42178462	42182462	TU975	G514	-	0	0	0	0
chr1	42178462	42182462	TU992	G514	-	0	0	0	0
chr1	42178462	42182462	TU995	G514	-	0	0	0	0
chr1	42178655	42182655	TU929	G489	+	0	0	0	0
chr1	42180451	42184451	TU976	G514	-	0	0	0	0
chr1	42180451	42184451	TU993	G514	-	0	0	0	0
chr1	42329873	42333873	TU933	G493	-	0	0	0	0
chr1	42547586	42551586	TU1005	G528	-	0	0	0	0
chr1	42691116	42695116	TU932	G492	-	0	0	0	0
chr1	42778569	42782569	TU960	G504	-	0	0	0	0
chr1	42782880	42786880	TU958	G504	-	0	0	0	0
chr1	42819930	42823930	TU925	G487	-	0	0	0	0
chr1	43236042	43240042	TU954	G501	-	0	0	0	0
chr1	43246037	43250037	TU1149	G602	-	0	1	0	0
chr1	43248544	43252544	TU1167	G602	-	1	1	-1	0
chr1	43260347	43264347	TU1150	G602	-	0	0	0	0
chr1	43261465	43265465	TU1172	G602	-	0	0	0	0
chr1	43267371	43271371	TU1151	G602	-	0	0	0	0
chr1	43275435	43279435	TU1154	G602	-	1	0	0	0
chr1	43285457	43289457	TU1148	G602	-	0	0	0	0
