#Chrom	Start	End	TransposableElementTranscript	TransposableElementSymbol	Strand	2cell.GG.WT	2cell.AG.WT	Morula.GG.WT	Morula.AG.WT	ICM.GG.WT	ICM.AG.WT	TE.GG.WT	TE.AG.WT	Morula.GG.K9Dplt	Morula.AG.K9Dplt
chr10	120611493	120611875	TU10032	G4924	-	0.200379	0.765874	3.34203	5.50004	0	6.43228	4.00687	5.51657	5.30151	6.59634
chr10	120653748	120655517	TU10042	G4929	-	0	0.133037	0	0	0	0	0.386995	0.970608	0	0
chr10	120711696	120728983	TU10046	G4930	-	0.327304	0.111566	0.00767393	0	0.0290405	0	0	0	0.077243	0.058432
chr10	110107387	110111714	TU10047	G4931	+	5.22838	5.88683	1.60138	2.69049	0	0.209557	0.501142	0.670236	1.87243	0.210804
chr10	120711696	120728983	TU10048	G4930	-	0.327304	0.111566	0.00767393	0	0.0290405	0	0	0	0.077243	0.058432
chr10	110104838	110121152	TU10049	G4931	+	0.19996	0.479644	0.0417103	0.0243197	0	0	0	0	0	0.0547327
chr1	42545338	42549586	TU1005	G528	-	2.86631	3.17431	0.763553	0	0	0	0	0	0	0.117695
chr10	120711696	120715716	TU10050	G4930	-	2.39369	1.85607	0	0.528405	0	0	0	0	0	0.124328
chr10	120715282	120715716	TU10051	G4930	-	1.56462	0	0	3.58095	0	0	0	0	0	0
chr10	110107387	110117330	TU10052	G4931	+	1.24042	0	0	0	0	0	0	0	0	0
chr10	121353590	121362358	TU10053	G4932	+	0.077243	0.0690147	2.75802	0.992043	0	0.139251	0.155749	0.587205	2.22203	1.84144
chr10	119600292	119617791	TU10054	G4933	-	0.955561	0.984334	0	0	0	0.0598167	0	0	0.188401	0.126092
chr10	119600292	119601308	TU10056	G4933	-	5.89627	5.04549	0	0	0	0	0	0	0	0
chr10	119603204	119610410	TU10057	G4935	-	0.757023	2.30065	0	0.033746	0	0.026682	0	0	0.041243	0
chr10	95942246	95943756	TU10058	G4936	-	0.47992	0.553852	0	0	0	0	0	0	0	0
chr10	95942246	95952224	TU10059	G4936	-	0.249749	0.0687396	0.33266	0.295919	0	0.258619	0	0	0.348232	0.366998
chr1	39830906	39833762	TU1006	G526	-	0.591998	1.38582	1.65061	1.25761	0.0940108	0.66509	0.553524	1.91367	1.1884	2.23133
chr10	121057191	121125041	TU10060	G4937	-	0.0699313	0.0426443	0.0758749	0.0635029	0.126973	0	0.203723	0	0.256407	0.0976108
chr10	118943181	118943984	TU10063	G4940	-	6.46442	7.19583	2.42313	0.329602	0	2.92442	1.94048	0	0.0745054	0
chr10	118929935	118943984	TU10064	G4940	-	0.0285692	0.0821576	0	0	0	0	0	0	0	0
chr10	118934287	118938151	TU10065	G4940	-	0.450661	1.35072	0.720424	0	0	0	0	0	2.62562	0
chr1	39830906	39833762	TU1007	G526	-	0.591998	1.38582	1.65061	1.25761	0.0940108	0.66509	0.553524	1.91367	1.1884	2.23133
chr10	121725239	121727566	TU10071	G4943	+	0	0.0596322	1.65184	0	0	0	0.3049	0	0.402722	0
chr10	121717986	121720113	TU10072	G4944	-	0	0.762987	0	0	2.68385	3.08701	0.60502	1.39926	2.34852	3.10126
chr1	39830906	39838053	TU1008	G526	-	0	0.181675	0.591998	0.487829	0	0.789103	0	0	0	2.15186
chr10	121495232	121497524	TU10083	G4949	-	0.849599	3.62529	1.02763	1.41504	0	0	0	0	2.16269	0.222392
chr10	121756406	121760009	TU10088	G4950	+	2.43287	1.20214	0	0.625426	0	0.534726	0	0	1.11237	0.209141
chr1	39830906	39833762	TU1009	G526	-	0.591998	1.38582	1.65061	1.25761	0.0940108	0.66509	0.553524	1.91367	1.1884	2.23133
chr10	119413221	119415066	TU10090	G4951	-	1.91507	1.98921	0	0	0	0	0	0	0.864731	1.21558
chr10	90949226	90989189	TU10092	G4952	-	0	0.0180644	0.411426	0.301783	0.0243197	0.111922	0.0346853	0.656573	0.370722	0.43082
chr10	90888402	90989189	TU10093	G4952	-	1.09806	0.829606	0.24245	0.239194	0	0.0243197	0	0.0176844	0.256407	0.0976108
chr10	122351740	122357298	TU10097	G4955	-	0.0894982	1.32803	0	0.0440443	0	0	0	0	0	0.259825
chr10	110107387	110121152	TU10099	G4931	+	0.618552	1.80826	1.14296	0	0.824836	0	1.53007	0.0908534	2.19093	0
chr1	7291882	7299572	TU101	G54	+	0.700144	0.441058	1.02456	1.048	0	0	1.11303	0.0708473	0.0593553	0.881012
chr10	122968970	122970837	TU10106	G4959	-	2.21132	2.65196	0	0	0	0	0	0	0	0
chr10	122470295	122546552	TU10110	G4962	-	0	0.0426443	0	0.00240249	0.0143553	0.0200577	0	0.0114956	0.0996319	0.109695
chr10	122404635	122546552	TU10111	G4962	-	0.143611	0.0992279	0.00336237	0.0081522	0	0	0.00623817	0	0.189034	0.0519521
chr10	122512975	122546552	TU10112	G4962	-	0.0384362	0.026021	0.00767393	0.000961476	0	0	0.0143553	0	0.283922	0.0426443
chr10	123759865	123778445	TU10119	G4966	+	0.27262	0.00547185	0	0	0	0	0	0	0.102994	0
chr10	122099673	122123811	TU10123	G4967	+	1.42474	1.61598	0.0153073	0	0.041243	0	0	0.0440443	0.28629	0.287275
chr10	122099673	122132332	TU10125	G4967	+	0	0	0	0	0	0	0	0	0	0
chr10	121748201	121749080	TU10126	G4969	+	1.41504	0	4.52761	3.08231	4.24874	0	0	3.64816	3.86448	0
chr10	121748460	121749080	TU10127	G4969	+	3.77593	2.17434	6.13027	5.55137	7.56541	6.57289	6.25785	6.61011	5.80573	4.26446
chr10	122126571	122132332	TU10128	G4967	+	2.47655	2.32723	0.860234	0.812293	0	0	0	0	0.316146	0.429393
chr10	122651955	122671552	TU10131	G4971	-	0.752178	0.606158	0	0	0.0496308	0	0	0	0	0
chr10	122588442	122671552	TU10132	G4971	-	0.209973	0.0209111	0	0.0153073	0	0	0	0	0.0820213	0.00575927
chr10	122606887	122671552	TU10133	G4971	-	0.304122	0.0761486	0	0.00432161	0	0.0143553	0	0	0.0164963	0.123004
chr10	115716225	115721693	TU10136	G4972	+	1.46641	0.518636	0	0	0	0	0	0	0.473008	0.137941
chr10	123785446	123916966	TU10137	G4973	+	0.0953619	0.0623981	0.0393724	0.033746	0.0247925	0.0276259	0.0271541	0	0.175684	0.120794
chr10	119438804	119455409	TU10141	G4977	-	2.11891	1.97004	0.102546	0.0598167	0	0	0	0	0	0.0926585
chr10	119418068	119455409	TU10143	G4977	-	1.30801	0.286171	0	0	0	0	0	0	0	0.106125
chr10	124608660	124610937	TU10144	G4979	+	2.32077	0.692963	5.83908	2.86526	5.54153	3.40177	5.69327	4.86643	4.6281	3.04375
chr10	124581877	124610937	TU10146	G4979	+	0.135316	0.0994972	0.554507	0.169497	0.0926585	0.167786	0.388832	0.534726	0.602172	0.468149
chr10	119430342	119455409	TU10147	G4977	-	0	0.339594	0	0	0	0.0967116	0	0	0.266637	0.0570459
chr10	126260720	126309182	TU10148	G4980	-	0.0313952	0.0434845	0.0459089	0.036093	0.0639631	0.0262099	0.0445107	0.0690147	0.259423	0.138378
chr10	126334761	126342497	TU10150	G4982	-	0.877613	1.51319	0	0	0	0	0	0	0	0.16178
chr10	119490740	119491594	TU10153	G4984	-	0	1.91625	0	0	0	0	0	0	0	0
chr10	125260884	125288093	TU10162	G4987	+	0.113256	0.0103502	0	0	0	0	0	0	0.0655723	0.0722202
chr10	125284351	125288093	TU10163	G4987	+	1.50046	1.79244	0	0	0	0	0	0	0.172488	0
chr10	125251698	125265261	TU10165	G4987	+	0	0.581303	0	0	0	0	0	0	0	0.0561211
chr10	125271508	125288093	TU10166	G4987	+	0.434739	0.00776959	0	0	0	0	0	0	0.0874628	0
chr10	126026336	126030024	TU10167	G4988	+	1.88036	1.4782	0.259021	0.110586	0	0	0	0	0	0
chr10	126026336	126062456	TU10168	G4988	+	0.106572	0.059909	0.0148314	0.0148314	0	0	0	0.026682	0.0894982	0.0487012
chr10	126026336	126062456	TU10169	G4988	+	0.106572	0.059909	0.0148314	0.0148314	0	0	0	0.026682	0.0894982	0.0487012
chr10	120515827	120538598	TU10181	G4993	+	0.131809	0.121679	0.0607392	0.0119726	0	0	0.0426443	0	0.412511	0.195768
chr10	115773479	115789815	TU10182	G4994	-	0.0813396	0.14274	0.026682	0.44608	0	0	0.610385	0	0	0.144482
chr10	115765971	115789815	TU10185	G4994	-	0	0.388465	0.204558	0	0	0.0389044	0	0	0.427606	0.389934
chr10	115764909	115789815	TU10186	G4994	-	1.31034	0.327687	0.269432	0.191563	0.245293	0	0.738119	0.136191	0.778209	0.118138
chr10	120541501	120542913	TU10187	G4993	+	4.47262	3.49593	0.353135	2.82402	2.02609	0.82103	0	0.706641	0.649845	0.531735
chr10	118097469	118098982	TU10188	G4996	+	0.85333	0.608242	0	0	0	0	0	0	0	0
chr10	120523362	120538598	TU10189	G4993	+	0	0	0	0	0	0	0	0	0	0
chr10	120522710	120535273	TU10190	G4993	+	0	0.0875986	0.693617	0.17078	0.591041	2.15823	0	0.661142	0.045443	0.00575927
chr10	120534315	120538598	TU10191	G4993	+	0	0	0.0262099	0	0	0	0	0	0	0
chr10	120540964	120542913	TU10192	G4993	+	0.00671692	0.407951	0	0.920166	0	1.35464	1.25701	0	0	0.16221
chr10	120537036	120538598	TU10193	G4993	+	2.45663	2.02737	0.607863	2.81209	1.7747	3.32385	0	0	1.78618	0.915075
chr10	120537036	120538598	TU10194	G4993	+	2.45663	2.02737	0.607863	2.81209	1.7747	3.32385	0	0	1.78618	0.915075
chr10	120522710	120542913	TU10195	G4993	+	1.29082	0.864731	0.345964	0	0	0	0	0	0	0.134002
chr10	120534057	120538598	TU10196	G4993	+	0	2.00784	0.265837	0.737831	0	0.746456	0	0	0	0.286093
chr10	120515827	120542913	TU10197	G4993	+	0.174619	0.139339	0	0.266237	0	0	0	0	0	0.201216
chr10	120857673	120860838	TU10198	G4997	+	0	0.187514	0.555816	0	0	0	0	0.331896	0	0.552213
chr1	7291882	7299572	TU102	G54	+	0.700144	0.441058	1.02456	1.048	0	0	1.11303	0.0708473	0.0593553	0.881012
chr10	115804155	115804644	TU10200	G4999	-	3.8843	0	0	0	0	0	0	3.67103	0	0
chr10	115804155	115806654	TU10202	G4999	-	0.716918	0.533065	0	0	0	0	0	0.71604	0	0
chr10	121423651	121424999	TU10205	G5003	-	5.71386	6.09686	2.59837	4.27155	0	0.705757	0	0	0.678973	2.81844
chr10	121510318	121523693	TU10206	G5004	+	0	0	0	0	0	0	0	0	0	0
chr10	121505252	121548304	TU10207	G5004	+	2.14742	1.45091	2.23797	1.26023	3.24072	3.85057	3.8334	3.74334	2.84659	2.52465
chr10	121510318	121526581	TU10208	G5004	+	0	0.0623981	0	0	0	0	0	0	0	0
chr10	121505252	121520101	TU10209	G5004	+	0	0	0	0	0	0	0	0	0	0
chr10	121510318	121520101	TU10210	G5004	+	0	0.0160684	0	0	0	0	0	0	0	0
chr10	117651810	117654401	TU10211	G5005	-	0.961253	0.769095	0.708408	1.96557	0	0	0	0	1.65375	1.33819
chr10	125153495	125165192	TU10216	G5009	+	0	0.119821	0	0	0	0	0	0	0.0765591	0
chr10	116481127	116482127	TU10223	G5014	-	3.00018	0.447632	2.1565	1.9573	0	0	0	3.45255	0	1.24509
chr10	116483538	116484088	TU10224	G5014	-	0.982826	0.9568	1.72203	0	0	0	4.74642	0	0	0
chr10	116481127	116484088	TU10225	G5014	-	0	0	0.0958119	0	0	0	0	0	0	0
chr10	126941766	126950623	TU10233	G5020	+	1.14492	1.53913	0	0.0542697	0	0.104337	0	0	0.321351	0
chr10	126946216	126950623	TU10235	G5020	+	2.95544	2.45765	3.10176	4.01218	0	0	1.73841	0.970363	2.70995	0.718964
chr10	126358451	126360696	TU10236	G5021	+	2.58616	5.59016	1.16328	3.35854	0	0	0	1.35389	2.0578	1.59391
chr10	126355105	126379993	TU10237	G5021	+	0.0836105	0.0280033	0	0.0551957	0	0.0247925	0	0.120794	0	0.130492
chr10	126358451	126374748	TU10241	G5021	+	0.428321	0.405992	0	0.65962	0	0	0	0.794936	0	0
chr10	126358451	126383536	TU10244	G5021	+	0.000480818	0.743817	0	0.0318657	0	0	0	0	0.206643	0.1137
chr10	124534427	124566335	TU10248	G5025	+	0.132687	0.059909	0	0	0	0	0.0219534	0	0.121015	0.0699313
chr10	127264639	127265679	TU10252	G5027	+	0	0	0	1.92359	0	0	0	0	0	1.20184
chr10	127117555	127120095	TU10253	G5028	+	1.76963	1.65974	0.803227	0.468149	0	0.367744	0	0	0.864335	0.199541
chr10	127218216	127223504	TU10258	G5031	+	0.139251	0	0.871581	0.39689	0	0	0.386627	0.36102	0.348232	0.627607
chr10	127222670	127224237	TU10259	G5031	+	0	0.970854	0	0	0	0	0	0	0	0
chr1	16680228	16685981	TU1026	G537	-	0	0.906583	0	0	0	0	0	0	0	0
chr10	127222670	127223504	TU10260	G5031	+	2.11059	1.29748	1.51854	0	1.82021	0	0	1.2554	0	0.0524159
chr10	125159427	125169838	TU10264	G5035	-	0.118581	0	0	0	0	0	0	0	0	0
chr10	125159427	125161320	TU10265	G5035	-	3.84224	0.589955	2.41405	1.86592	0	0	0	1.51669	0.266037	0
chr10	125159427	125169838	TU10266	G5035	-	0.118581	0	0	0	0	0	0	0	0	0
chr10	125159427	125168489	TU10267	G5035	-	0.0708473	0.569491	0.150993	0	0	0	0	0	0	0.058432
chr10	125159427	125161320	TU10269	G5035	-	3.84224	0.589955	2.41405	1.86592	0	0	0	1.51669	0.266037	0
chr1	16680228	16689215	TU1027	G537	-	0.965938	0.688315	3.15715	2.24823	1.7627	1.74502	1.22095	1.2758	1.40572	1.44855
chr10	125159427	125169838	TU10270	G5035	-	0.118581	0	0	0	0	0	0	0	0	0
chr10	127752089	127756600	TU10277	G5043	-	0.0417103	0.338225	0.0593553	0.0547327	0	3.35026	0	0	0.396708	0.316918
chr1	16680228	16685981	TU1028	G537	-	0	0.906583	0	0	0	0	0	0	0	0
chr10	120540476	120546271	TU10280	G5045	-	0	0.0404015	0	1.04241	0	1.4685	0	0	0	0
chr10	121503359	121523376	TU10281	G5046	-	0.0186342	0	0	0	0.104337	0	0.0565835	0.196607	0	0.060278
chr10	127817360	127824124	TU10282	G5047	+	2.24062	1.27202	0	0	0.146221	0	0	0	0.132248	0.184386
chr1	16680228	16681820	TU1029	G537	-	3.54226	4.01502	0	0	0	0	0.436517	0	0	0
chr1	9770973	9771806	TU103	G55	-	0	2.40474	2.18386	0	0	4.0003	4.24441	5.64187	1.07382	1.55827
chr1	16680228	16689215	TU1030	G537	-	0.965938	0.688315	3.15715	2.24823	1.7627	1.74502	1.22095	1.2758	1.40572	1.44855
chr10	127913324	127915233	TU10300	G5056	-	1.32635	0.594357	0	0	0	0	0	0	1.04124	0.446786
chr10	127913324	127926667	TU10301	G5056	-	0.337235	0.128821	0.386995	0.25177	0.0745054	0	0.0731347	0.0763311	0.555325	0.514669
chr1	16680228	16689215	TU1031	G537	-	0.965938	0.688315	3.15715	2.24823	1.7627	1.74502	1.22095	1.2758	1.40572	1.44855
chr10	127960850	127971880	TU10318	G5065	-	0.119467	0.0117819	0	0.461529	0.827819	0	0	0.881795	0.707966	0.263435
chr10	127960850	127976561	TU10321	G5065	-	0	0	0	0	0.202052	0	0	0	0	0
chr10	127960850	127961930	TU10325	G5065	-	1.78938	0	3.80057	2.44555	5.66146	4.85531	7.36471	6.99481	4.47333	3.94714
chr10	127970904	127977438	TU10328	G5068	-	0	0	0.398715	0	0.314986	0	1.18184	0.134878	0.235727	0.395063
chr10	127968289	127977438	TU10331	G5068	-	0	0	0.139251	0.0648829	0	0	0	1.38073	0.551885	0
chr10	120136329	120137269	TU10347	G5073	+	0	0	0	0	1.76369	1.63691	2.49442	0	0.9568	0
chr10	120151520	120153351	TU10362	G5078	+	0	0	0.531735	1.37128	0	0.355016	0.695994	2.134	0.881273	0.639387
chr10	120908339	120910551	TU10365	G5081	-	0.574021	0.0717627	0	0.978196	0	0	0	0	0	0
chr10	128010150	128012224	TU10369	G5084	+	4.18911	4.36711	4.90323	5.30237	5.04063	5.48775	5.40775	4.96794	5.45626	4.91158
chr10	128267596	128268299	TU10372	G5086	+	0.461878	1.50518	0	0	0	1.44908	0	0	0	0
chr10	128263185	128267521	TU10375	G5087	+	0.471621	0.444667	0	0.0876891	0	0	0	0	0.616828	0.115033
chr10	128266442	128267521	TU10376	G5087	+	3.22085	1.22231	1.57499	1.61007	0	0	0	0	1.17792	0
chr10	128266102	128267521	TU10377	G5087	+	0.912011	0	0	0	0	0	0	0	0	0
chr10	111261743	111263014	TU10385	G5094	+	0	0.251446	0	0	0	3.30388	2.41909	0	0	0
chr1	16710360	16713822	TU1039	G544	-	1.79632	0.543793	0.794381	0.842107	2.79015	1.5532	1.68631	0.776525	1.97067	0.870792
chr10	127819861	127829702	TU10392	G5099	-	1.01078	0.0395596	0.0276259	0	0	0	0	0	0	0
chr10	127827904	127829702	TU10393	G5099	-	1.44431	2.06695	0	0	0	0	0	0	0.438293	1.46484
chr10	122892261	122900169	TU10394	G5100	-	0.832688	0.0728604	0	0	0	0	0	0	0.422233	0.0953619
chr10	127935537	127957939	TU10408	G5109	-	0	0	0.000480818	0	0	0	0	0	0	0
chr10	128456115	128458065	TU10409	G5110	+	1.01792	2.47685	1.63537	0	0	0.601855	0	1.23143	1.09018	2.02136
chr10	127935537	127956932	TU10410	G5109	-	0.0827026	0.0197731	0.0398403	0.103442	0	0	0	0.0630427	0.336855	0.261431
chr10	127935537	127957939	TU10411	G5109	-	0	0	0.000480818	0	0	0	0	0	0	0
chr10	127934942	127957939	TU10412	G5109	-	0.167358	0.0997665	0	0	0	0	0	0	0	0
chr10	127935537	127939304	TU10413	G5109	-	1.99035	2.65214	0.262634	3.39378	0	0	1.28195	1.45611	0	0.205393
chr10	127935537	127957939	TU10414	G5109	-	0	0	0.000480818	0	0	0	0	0	0	0
chr10	127935537	127936755	TU10415	G5109	-	2.38571	2.47254	2.48929	3.22769	0	0	1.92663	0.818851	0	1.84506
chr10	127935537	127944260	TU10416	G5109	-	0.829985	0	0	0	0	0	0	0	0	0
chr10	127955975	127956932	TU10417	G5109	-	3.1435	1.4631	1.60265	3.09418	0	0	0	0	0	0
chr10	127935537	127958462	TU10418	G5109	-	0	0	0	0	0	0	0	0	0	0
chr10	127943625	127948974	TU10419	G5109	-	1.24225	2.16704	0.811197	1.45523	0	0	0.13137	0.371094	0.52707	0.268634
chr10	127957103	127957939	TU10421	G5109	-	0	1.37061	3.19514	0	0	0	0	1.19912	0	0.771463
chr10	127935537	127958462	TU10422	G5109	-	0	0	0	0	0	0	0	0	0	0
chr10	127935537	127957939	TU10423	G5109	-	0	0	0.000480818	0	0	0	0	0	0	0
chr10	127466076	127467623	TU10427	G5113	+	3.96033	1.88487	3.62176	4.29746	3.13214	1.926	0.945358	1.80722	3.72955	3.35257
chr10	127373131	127467623	TU10428	G5113	+	1.84345	1.62471	0.675364	0.939853	0.573698	0.527738	0.870266	0.823206	0.903038	0.833227
chr10	123533857	123536199	TU10436	G5116	-	0	0	0	0	1.08406	0.39908	0.302953	0	0	0.320773
chr10	120181990	120183930	TU10443	G5120	+	1.5669	0.661202	1.7685	2.9752	0	2.53173	0	0.538041	3.08907	2.47508
chr10	128597624	128598589	TU10446	G5121	+	3.17797	2.57652	0	0	0	0	1.09716	0	0	0.78045
chr10	128596619	128598589	TU10447	G5121	+	0	0	0	0	0	0	0	0	0	0
chr10	128513356	128514620	TU10453	G5124	+	2.92689	1.39966	1.44749	0.243263	0	0.915075	2.04253	1.78269	1.16157	2.90804
chr10	128615408	128616645	TU10454	G5125	-	3.59383	3.97389	4.35278	4.97734	1.95469	3.29317	3.07359	3.78566	5.07818	4.74033
chr10	120192512	120195659	TU10455	G5126	+	0.862088	0.815084	2.55884	2.64655	0.975508	0	1.65627	0.276993	0	1.84626
chr10	128675849	128676739	TU10457	G5128	+	3.86612	3.41232	6.14712	6.24408	3.3388	2.99639	4.23054	3.18237	6.7554	7.53134
chr1	16821197	16825105	TU1047	G546	-	0	0.0526941	0	0	0	0	0	0	0	0
chr1	16823363	16825105	TU1048	G546	-	1.39433	0	0	0	0	0	0	0	0	0
chr10	115325831	115328219	TU10490	G5138	-	0.310728	0.698841	0.561693	0.257011	0	2.89356	0	0.438293	0	0
chr10	127671304	127672189	TU10494	G5141	-	3.57914	1.80867	2.01471	3.01691	0	0	0	3.78367	0	2.55238
chr10	127671304	127676761	TU10496	G5141	-	0.159199	0.551098	0.476814	0.155317	0	0.115033	0	0	0.566572	0.264236
chr10	128689996	128690498	TU10499	G5144	+	1.43046	0.301705	0	4.60725	0	0	0	0	0	0
chr10	128689996	128691418	TU10501	G5144	+	0	0	0	2.02337	0	0	0	0	0.645241	0
chr10	115598952	115599766	TU10504	G5145	-	6.43497	6.37738	9.29485	9.06773	8.4531	8.03864	8.19174	8.14026	9.76432	10.2033
chr10	128914920	128917753	TU10505	G5146	+	1.04893	0.823423	0.47992	0	0	0	0	0	0	0
chr10	115329201	115599766	TU10506	G5145	-	2.38847	1.68787	1.23246	1.20685	2.29406	1.91214	2.13805	2.24235	1.38488	1.03727
chr10	128968600	128969616	TU10515	G5155	+	0	0	0	3.11592	0	0	0	0	0	0
chr10	129510488	129510849	TU10521	G5158	+	0	1.75301	4.56631	2.29905	0	0	2.61612	0	2.75339	2.84345
chr10	128766605	128767132	TU10522	G5159	+	2.58944	0.717386	1.73826	3.50839	0	2.22363	2.90747	3.65505	0	0
chr10	130000364	130001693	TU10557	G5173	+	1.14904	0	0	0	0	2.36196	0	0	0	0
chr11	3108978	3121186	TU10584	G5182	-	2.10601	0.818196	0.624491	0.145786	0	0.100305	0	0.0836105	0.0738202	0.0621217
chr1	44522545	44540137	TU1059	G553	-	0.345586	0.436162	0.263435	0.326537	0.490912	0.53771	0.401266	0.226097	0.515006	0.419719
chr11	3316837	3317982	TU10595	G5187	+	0	1.33868	1.11725	0.86974	0	0	0	0	0	0
chr11	3540896	3542766	TU10612	G5194	+	0	0.356144	0	0	1.64862	0	0	0	1.76277	1.3811
chr11	3542768	3546930	TU10616	G5196	-	0.119909	0.20389	0.0913049	1.12653	0	0	1.06534	0.209973	1.24184	0
chr1	45772125	45772779	TU1062	G556	+	0	0.731009	0	0	0	0	0	0	0	0
chr11	3599442	3600088	TU10620	G5198	+	0	2.38067	0	0	0	0	0	1.57676	1.37212	0
chr11	3648392	3649201	TU10626	G5199	+	1.83107	0.190552	0.529738	0.376661	0	0.873157	0	0	0	0
chr10	130540645	130542116	TU10630	G5203	-	0.469886	0	2.76327	1.75061	2.78213	4.19482	2.31846	4.34082	1.03738	1.86895
chr10	130527940	130542116	TU10631	G5203	-	0.356519	0.244887	1.10165	1.59884	1.99747	3.07963	1.46449	1.84586	0.547943	1.16006
chr10	130537782	130542116	TU10632	G5203	-	0	0	0	0	0	3.73259	2.29033	2.27441	0	1.06051
chr11	3695056	3698676	TU10633	G5204	+	1.71721	0.0775165	0.463274	0.70251	0	0	0	0.240823	1.08066	0.265037
chr11	3639807	3641614	TU10638	G5208	+	7.79177	7.904	9.41639	8.95699	9.12205	7.88641	8.81338	7.28362	7.91072	7.66536
chr11	4027337	4028766	TU10653	G5216	+	0	0.0959919	0.376661	0	1.49382	0	0	0.607547	0	0
chr1	39547570	39549512	TU1068	G560	-	4.19372	3.69951	5.2239	5.25912	4.28629	7.08756	5.08052	5.62791	5.14934	3.19093
chr11	4125414	4131992	TU10682	G5227	-	2.66661	2.39342	3.11392	2.32471	1.16672	1.96791	1.75389	2.01281	3.19061	3.19246
chr1	39573170	39575221	TU1069	G561	-	0.247725	1.05339	1.91112	2.48422	0	6.06284	0	0	0	0
chr11	4016890	4022442	TU10692	G5231	+	1.47387	0.42094	5.63116	1.89297	4.19212	2.74395	1.41125	1.72421	3.59377	2.64409
chr11	4016116	4022442	TU10695	G5231	+	0	0	2.32539	0	1.52105	0	0.725378	0	0	0.576603
chr1	10888347	10888822	TU107	G57	+	3.66164	1.81942	0	0	3.96486	3.6356	0	0	0	0
