#Chrom	Start	End	RefSeq	GeneSymbol	Strand	2-cell	Morula	ICM	TE
chr1	7086920	7090920	NM_183028	Pcmtd1	+	0	1	0	0
chr1	9297877	9301877	NM_001290390	Sntg1	-	0	0	0	0
chr1	9297877	9301877	NM_001290392	Sntg1	-	0	0	0	0
chr1	9297877	9301877	NM_001290393	Sntg1	-	0	0	0	0
chr1	9297877	9301877	NM_027671	Sntg1	-	0	0	0	0
chr1	9543408	9547408	NM_021511	Rrs1	+	0	0	0	0
chr1	9545948	9549948	NM_001357376	Adhfe1	+	0	0	0	0
chr1	9545948	9549948	NM_001357377	Adhfe1	+	0	0	0	0
chr1	9545948	9549948	NM_001357378	Adhfe1	+	0	0	0	0
chr1	9545948	9549948	NM_175236	Adhfe1	+	0	0	0	0
chr1	9599267	9603267	NM_178399	Vxn	+	0	0	0	0
chr1	9629092	9633092	NR_015470	2610203C22Rik	-	0	0	0	0
chr1	9698209	9702209	NM_001290397	Mybl1	-	0	0	0	0
chr1	9698209	9702209	NM_008651	Mybl1	-	0	0	0	0
chr1	9745648	9749648	NR_040462	1700034P13Rik	+	0	0	0	0
chr1	9746382	9750382	NM_173443	Vcpip1	-	0	0	0	0
chr1	9796130	9800130	NM_133220	Sgk3	+	0	1	0	0
chr1	9796130	9800130	NM_177547	Sgk3	+	0	-1	0	-1
chr1	9846281	9850281	NM_001037759	Sgk3	+	-1	0	0	0
chr1	9906638	9910638	NM_177722	Mcmdc2	+	0	0	0	0
chr1	9940543	9944543	NR_004410	Snord87	-	0	-1	0	0
chr1	9942118	9946118	NR_024067	Snhg6	-	0	0	0	0
chr1	9965810	9969810	NM_001285425	Tcf24	-	0	0	0	0
chr1	10007136	10011136	NM_145692	Ppp1r42	-	0	0	0	0
chr1	10007136	10011136	NR_110971	Ppp1r42	-	0	0	0	0
chr1	10036159	10040159	NM_001277101	Cops5	-	1	0	1	0
chr1	10036159	10040159	NM_013715	Cops5	-	0	0	0	0
chr1	10036159	10040159	NR_102282	Cops5	-	0	0	0	0
chr1	10036218	10040218	NM_026493	Cspp1	+	0	0	0	0
chr1	10044493	10048493	NM_001368816	Cspp1	+	0	0	0	0
chr1	10230670	10234670	NM_001102430	Arfgef1	-	0	1	0	0
chr1	10717945	10721945	NM_001289497	Cpa6	-	0	0	0	0
chr1	10717945	10721945	NM_177834	Cpa6	-	0	0	0	0
chr1	10863874	10867874	NR_030645	Mir467e	-	0	0	0	0
chr1	10991465	10995465	NM_029525	Prex2	+	0	0	0	0
chr1	11261963	11265963	NM_001033636	Prex2	+	0	0	0	0
chr1	11412105	11416105	NM_001160369	A830018L16Rik	+	0	0	0	0
chr1	11412105	11416105	NM_001160370	A830018L16Rik	+	0	0	0	0
chr1	11412105	11416105	NM_001160371	A830018L16Rik	+	0	0	0	0
chr1	11412105	11416105	NM_001310451	A830018L16Rik	+	0	0	0	0
chr1	11412105	11416105	NM_001374633	A830018L16Rik	+	0	0	0	0
chr1	11412105	11416105	NM_001374634	A830018L16Rik	+	0	0	0	0
chr1	11412105	11416105	NM_177173	A830018L16Rik	+	0	0	0	0
chr1	12423986	12427986	NR_105759	Mir6341	+	0	0	0	0
chr1	12665563	12669563	NR_045297	Gm17644	+	0	0	0	0
chr1	12690430	12694430	NM_001198565	Sulf1	+	0	0	0	0
chr1	12690430	12694430	NM_001198566	Sulf1	+	0	0	0	0
chr1	12716545	12720545	NM_172294	Sulf1	+	0	0	0	0
chr1	12989135	12993135	NM_172841	Slco5a1	-	0	0	0	0
chr1	13125163	13129163	NM_001081209	Prdm14	-	0	0	0	0
chr1	13370429	13374429	NM_001302702	Ncoa2	-	1	0	0	0
chr1	13372083	13376083	NM_008678	Ncoa2	-	0	1	0	0
chr1	13587910	13591910	NM_028173	Tram1	-	0	1	0	0
chr1	13658509	13662509	NM_145381	Lactb2	-	0	0	0	0
chr1	13666771	13670771	NM_001011873	Xkr9	+	0	0	0	-1
chr1	13784929	13788929	NR_004447	Gm5523	-	0	0	0	0
chr1	14308199	14312199	NM_001252192	Eya1	-	0	0	0	0
chr1	14308199	14312199	NM_001310459	Eya1	-	0	0	0	0
chr1	14308199	14312199	NM_010164	Eya1	-	0	0	0	0
chr1	14753966	14757966	NM_001360810	Msc	-	0	1	-1	0
chr1	14753966	14757966	NM_010827	Msc	-	0	1	1	0
chr1	14916862	14920862	NM_001348288	Trpa1	-	0	0	0	0
chr1	14916862	14920862	NM_177781	Trpa1	-	0	0	0	0
chr1	15284925	15288925	NM_001098528	Kcnb2	+	0	0	0	0
chr1	15803646	15807646	NM_001286628	Terf1	+	-1	1	0	0
chr1	15803646	15807646	NM_009352	Terf1	+	0	0	0	0
chr1	15803646	15807646	NR_152944	Terf1	+	1	0	1	0
chr1	15890722	15894722	NM_001033288	Sbspon	-	0	0	0	0
chr1	16091325	16095325	NM_001243238	4930444P10Rik	-	0	0	0	0
chr1	16091325	16095325	NM_001305227	4930444P10Rik	-	0	0	0	0
chr1	16102433	16106433	NM_011291	Rpl7	-	0	0	0	0
chr1	16103882	16107882	NM_133832	Rdh10	+	0	0	-1	-1
chr1	16517115	16521115	NM_001347044	Stau2	-	0	0	0	0
chr1	16517302	16521302	NM_001111272	Stau2	-	0	0	0	0
chr1	16517302	16521302	NM_001347045	Stau2	-	0	1	1	0
chr1	16517302	16521302	NM_025303	Stau2	-	0	0	1	1
chr1	16617291	16621291	NM_001271016	Ube2w	-	0	0	0	0
chr1	16617291	16621291	NM_001271017	Ube2w	-	0	0	0	0
chr1	16617291	16621291	NM_025773	Ube2w	-	0	1	0	0
chr1	16617291	16621291	NR_073122	Ube2w	-	0	0	-1	0
chr1	16654865	16658865	NM_026456	Eloc	-	0	0	0	0
chr1	16655119	16659119	NM_001310470	Eloc	-	1	0	0	0
chr1	16655552	16659552	NR_037998	D030040B21Rik	+	0	0	0	0
chr1	16663191	16667191	NM_026392	Tmem70	+	0	0	1	-1
chr1	16663191	16667191	NM_027415	Tmem70	+	0	0	0	0
chr1	16686456	16690456	NM_001159711	Ly96	+	0	0	0	0
chr1	16686456	16690456	NM_016923	Ly96	+	0	0	0	0
chr1	17095889	17099889	NM_020604	Jph1	-	0	0	0	0
chr1	17143373	17147373	NM_010267	Gdap1	+	0	0	0	0
chr1	17599901	17603901	NM_053191	Pi15	+	0	0	0	0
chr1	17725045	17729045	NM_001356551	Crispld1	+	0	0	0	0
chr1	17725417	17729417	NM_031402	Crispld1	+	0	0	0	0
chr1	17725646	17729646	NR_130314	Gm16070	-	0	0	0	0
chr1	18143902	18147902	NM_001347047	Crisp4	-	0	0	0	0
chr1	18143902	18147902	NM_001347048	Crisp4	-	0	0	0	0
chr1	18221564	18225564	NR_002879	Defb44-ps	-	0	0	0	0
chr1	18235476	18239476	NM_001039123	Defb18	-	0	0	0	0
chr1	18263138	18267138	NM_001040027	Defb41	-	0	0	0	0
chr1	18263138	18267138	NM_183124	Defb41	-	0	0	0	0
chr1	19101022	19105022	NM_153154	Tfap2d	+	0	0	0	0
chr1	19101036	19105036	NM_001379074	Tfap2d	+	0	0	0	0
chr1	19102133	19106133	NM_001379073	Tfap2d	+	0	0	0	0
chr1	19102840	19106840	NR_151619	Gm15825	-	0	0	0	0
chr1	19206914	19210914	NM_001286340	Tfap2b	+	0	0	0	0
chr1	19206914	19210914	NM_009334	Tfap2b	+	0	0	0	0
chr1	19210054	19214054	NM_001025305	Tfap2b	+	0	0	0	0
chr1	20354454	20358454	NR_045734	4930486I03Rik	+	0	0	0	0
chr1	20616057	20620057	NM_153179	Pkhd1	-	0	0	0	0
chr1	20667882	20671882	NR_131249	Lincmd1	+	0	0	0	0
chr1	20677010	20681010	NR_029593	Mir206	+	0	0	0	0
chr1	20680769	20684769	NR_029902	Mir133b	+	0	0	0	0
chr1	20728905	20732905	NM_010552	Il17a	+	0	0	0	0
chr1	20782270	20786270	NM_145856	Il17f	-	0	0	0	0
chr1	20818312	20822312	NM_008563	Mcm3	-	0	0	1	0
chr1	20888473	20892473	NR_040492	6720483E21Rik	-	0	0	0	0
chr1	20888548	20892548	NM_028829	Paqr8	+	0	0	0	0
chr1	20915840	20919840	NM_001355122	Paqr8	+	0	0	0	0
chr1	20949626	20953626	NM_027974	Efhc1	+	0	0	0	0
chr1	21077225	21081225	NM_177409	Tram2	-	0	0	0	0
chr1	21216575	21220575	NM_001290679	Tmem14a	+	0	0	0	0
chr1	21216575	21220575	NM_029398	Tmem14a	+	0	0	0	0
chr1	21238585	21242585	NM_001077353	Gsta3	+	0	0	0	0
chr1	21238585	21242585	NM_001288617	Gsta3	+	0	0	0	0
chr1	21238585	21242585	NM_010356	Gsta3	+	0	0	0	0
chr1	21296312	21300312	NR_002858	Gm4956	-	0	0	0	0
chr1	21347677	21351677	NM_183322	Khdc1a	+	0	0	0	0
chr1	21366331	21370331	NM_001033904	Khdc1c	+	0	0	-1	0
chr1	21381556	21385556	NM_001113187	Khdc1b	+	0	0	0	0
chr1	21959942	21963942	NM_001160139	Kcnq5	-	0	0	0	0
chr1	21959942	21963942	NM_023872	Kcnq5	-	0	0	0	0
chr1	21960650	21964650	NM_001310477	Kcnq5	-	0	0	0	0
chr1	22804158	22808158	NM_001012623	Rims1	-	0	0	0	0
chr1	22804158	22808158	NM_001012624	Rims1	-	0	0	0	0
chr1	22804158	22808158	NM_001012625	Rims1	-	0	0	0	0
chr1	22804158	22808158	NM_053270	Rims1	-	0	0	0	0
chr1	22804158	22808158	NM_183018	Rims1	-	0	0	0	0
chr1	22896387	22900387	NR_151543	Gm7759	+	0	0	0	0
chr1	23100253	23104253	NM_025746	Ppp1r14bl	-	0	0	0	0
chr1	23270269	23274269	NR_029533	Mir30a	+	0	0	0	0
chr1	23289701	23293701	NR_029717	Mir30c-2	+	0	0	0	0
chr1	23381175	23385175	NM_001081079	Ogfrl1	-	0	0	1	1
chr1	23381201	23385201	NM_001379082	Ogfrl1	-	0	1	0	-1
chr1	23381201	23385201	NM_001379083	Ogfrl1	-	0	0	0	0
chr1	23572587	23576587	NR_151529	Gm28822	+	0	0	0	0
chr1	23759926	23763926	NM_172124	B3gat2	+	0	0	0	0
chr1	23907736	23911736	NM_001290683	Smap1	-	0	0	0	0
chr1	23907736	23911736	NR_110972	Smap1	-	0	-1	-1	0
chr1	23920381	23924381	NM_001357395	Smap1	-	-1	-1	-1	1
chr1	23920381	23924381	NM_028534	Smap1	-	0	1	1	0
chr1	24003640	24007640	NM_026503	Sdhaf4	-	0	1	0	0
chr1	24098341	24102341	NM_026604	Fam135a	-	0	1	0	0
chr1	24175610	24179610	NM_007740	Col9a1	+	0	0	0	0
chr1	24193203	24197203	NM_001290691	Col9a1	+	0	0	0	0
chr1	24585437	24589437	NM_007733	Col19a1	-	0	0	0	0
chr1	24676544	24680544	NM_026719	Lmbrd1	+	0	0	0	0
chr1	24676918	24680918	NM_001310483	Lmbrd1	+	0	1	0	0
chr1	25275954	25279954	NM_001204913	Gm20172	-	0	0	0	0
chr1	25827707	25831707	NM_175642	Adgrb3	-	0	0	0	0
chr1	25828430	25832430	NR_169046	Gm9884	+	0	0	0	0
chr1	26685460	26689460	NM_001033764	4931408C20Rik	-	0	0	0	0
chr1	27882046	27886046	NR_151583	Gm5524	+	0	0	0	0
chr1	28778252	28782252	NM_001013750	Gm597	-	0	0	0	0
chr1	29419488	29423488	NR_105760	Mir6342	+	0	0	0	0
chr1	30136836	30140836	NR_157037	Gm31465	-	0	0	0	0
chr1	30136836	30140836	NR_157038	Gm31465	-	0	0	0	0
chr1	30136836	30140836	NR_157039	Gm31465	-	0	0	0	0
chr1	30861256	30865256	NM_001081080	Phf3	-	0	0	0	0
chr1	30947710	30951710	NR_002688	Gm13363	-	0	0	0	0
chr1	30947755	30951755	NM_011200	Ptp4a1	-	0	0	0	0
chr1	30947871	30951871	NR_164183	LOC115487084	+	0	0	0	0
chr1	31094454	31098454	NR_136907	Gm29669	-	0	0	0	0
chr1	31174435	31178435	NM_153601	Lgsn	+	0	0	0	0
chr1	31220656	31224656	NR_033445	4931428L18Rik	-	0	0	0	0
chr1	31220839	31224839	NM_029062	Dnaaf6	+	0	0	0	0
chr1	31262847	31266847	NR_015347	Gm4850	+	0	0	0	0
chr1	32170722	32174722	NM_133235	Khdrbs2	+	0	0	0	0
chr1	32518999	32522999	NM_001199956	Gm9839	-	0	0	0	0
chr1	32545293	32549293	NM_001164286	Gm5415	-	0	0	0	0
chr1	33667794	33671794	NM_008922	Prim2	-	0	0	0	0
chr1	33667824	33671824	NR_033199	1700001G17Rik	+	0	0	0	0
chr1	33717846	33721846	NR_157041	Gm32229	-	0	0	0	0
chr1	33717896	33721896	NM_008999	Rab23	+	1	1	0	0
chr1	33718419	33722419	NM_001159729	Rab23	+	0	0	0	0
chr1	33755750	33759750	NM_145392	Bag2	-	0	0	0	0
chr1	33812595	33816595	NM_001290699	Zfp451	-	0	0	0	0
chr1	33812595	33816595	NM_001290700	Zfp451	-	-1	0	0	0
chr1	33812595	33816595	NM_001359274	Zfp451	-	0	0	0	0
chr1	33812595	33816595	NM_001359275	Zfp451	-	0	0	0	0
chr1	33812595	33816595	NM_133817	Zfp451	-	0	0	-1	0
chr1	33836914	33840914	NM_001161816	Gm15455	-	0	0	0	0
chr1	33905621	33909621	NM_177235	Bend6	-	0	0	0	0
chr1	33905767	33909767	NM_001310484	Bend6	-	0	0	0	0
chr1	33906225	33910225	NM_001276764	Dst	+	0	0	0	0
chr1	34009595	34013595	NM_133833	Dst	+	0	0	0	0
chr1	34009595	34013595	NM_134448	Dst	+	0	0	0	0
chr1	34115359	34119359	NR_105861	Mir6896	+	0	0	0	0
chr1	34158260	34162260	NM_010081	Dst	+	0	0	0	0
chr1	34176164	34180164	NR_165804	Gm26788	-	0	0	0	0
chr1	34431199	34435199	NR_039562	Mir5103	-	0	0	0	0
chr1	34437672	34441672	NM_027159	Ccdc115	-	0	0	0	0
chr1	34437829	34441829	NM_178601	Imp4	+	0	0	0	0
chr1	34457746	34461746	NM_011206	Ptpn18	+	0	0	0	0
chr1	34496412	34500412	NM_001360855	Prss39	+	0	0	0	0
chr1	34496412	34500412	NM_009355	Prss39	+	0	0	0	0
chr1	34533648	34537648	NM_007685	Cfc1	+	0	0	1	0
chr1	34533648	34537648	NR_153806	Cfc1	+	0	0	0	0
chr1	34558943	34562943	NM_009356	Prss40	-	0	0	0	0
chr1	34577693	34581693	NM_213727	Amer3	+	0	0	0	0
chr1	34634210	34638210	NR_033627	AA619741	-	0	0	0	0
chr1	34676182	34680182	NM_001368773	Arhgef4	+	0	0	0	0
chr1	34799741	34803741	NM_183019	Arhgef4	+	0	0	0	0
chr1	34841050	34845050	NM_001160235	Fam168b	-	0	0	0	-1
chr1	34841050	34845050	NM_001160236	Fam168b	-	0	0	1	0
chr1	34841050	34845050	NM_174997	Fam168b	-	0	0	0	0
chr1	34847959	34851959	NM_145516	Plekhb2	+	0	0	0	0
chr1	34847959	34851959	NM_175421	Plekhb2	+	0	0	0	0
chr1	34847989	34851989	NM_001357425	Plekhb2	+	0	0	0	0
chr1	36066400	36070400	NM_015818	Hs6st1	+	0	0	0	0
chr1	36142313	36146313	NR_105862	Mir6897	-	0	0	0	0
chr1	36242302	36246302	NM_198899	Uggt1	-	0	0	0	0
chr1	36271425	36275425	NM_153408	Neurl3	-	0	0	0	0
chr1	36305733	36309733	NM_001172205	Arid5a	+	0	0	0	0
chr1	36305733	36309733	NM_001172206	Arid5a	+	0	0	0	0
chr1	36305733	36309733	NM_001290726	Arid5a	+	-1	0	0	0
chr1	36305733	36309733	NM_001290727	Arid5a	+	0	0	0	0
chr1	36305733	36309733	NM_145996	Arid5a	+	0	0	0	0
chr1	36305733	36309733	NR_033310	Arid5a	+	0	0	0	0
chr1	36346758	36350758	NR_105863	Mir6898	-	0	0	0	0
chr1	36367181	36371181	NM_001310513	Kansl3	-	0	0	0	0
chr1	36367181	36371181	NM_172652	Kansl3	-	0	0	0	0
chr1	36370190	36374190	NM_001277076	Fer1l5	+	0	0	0	0
chr1	36443271	36447271	NM_001013374	Lman2l	-	0	0	0	0
chr1	36443271	36447271	NM_001310517	Lman2l	-	0	0	0	0
chr1	36469597	36473597	NM_033570	Cnnm4	+	0	0	0	0
chr1	36469769	36473769	NR_168706	Gm33454	-	0	0	0	0
chr1	36509867	36513867	NM_001039551	Cnnm3	+	0	0	0	0
chr1	36509867	36513867	NM_001331209	Cnnm3	+	0	0	0	0
chr1	36509867	36513867	NM_053186	Cnnm3	+	0	0	0	0
chr1	36533739	36537739	NM_153502	Ankrd23	-	0	0	0	0
chr1	36534556	36538556	NM_001310521	Ankrd23	-	0	0	0	0
chr1	36545252	36549252	NM_001310533	Ankrd39	-	0	0	0	0
chr1	36545252	36549252	NM_026241	Ankrd39	-	0	0	0	0
chr1	36545252	36549252	NR_132321	Ankrd39	-	0	0	0	0
chr1	36555557	36559557	NM_001304329	Sema4c	-	0	0	0	0
chr1	36555557	36559557	NM_001304330	Sema4c	-	0	0	0	0
chr1	36556381	36560381	NM_001126047	Sema4c	-	0	0	0	0
chr1	36591332	36595332	NM_027957	Fam178b	-	0	0	0	0
chr1	36681147	36685147	NM_001372416	Fam178b	-	0	0	0	0
chr1	36681147	36685147	NM_001372417	Fam178b	-	0	0	0	0
chr1	36681183	36685183	NM_001126046	Fam178b	-	0	0	0	0
chr1	36681183	36685183	NM_201365	Fam178b	-	0	0	0	0
chr1	36689487	36693487	NM_009942	Cox5b	+	0	0	0	0
chr1	36707925	36711925	NM_146107	Actr1b	-	-1	0	0	0
chr1	36712537	36716537	NM_001374322	4933424G06Rik	+	0	0	0	0
chr1	36759798	36763798	NM_009539	Zap70	+	0	0	0	0
chr1	36762515	36766515	NM_001289766	Zap70	+	0	0	0	0
chr1	36764934	36768934	NM_001289765	Zap70	+	0	0	0	0
chr1	36776984	36780984	NM_001289612	Zap70	+	0	0	0	0
chr1	36937527	36941527	NM_018872	Tmem131	-	0	1	0	0
chr1	37027313	37031313	NM_001370828	Vwa3b	+	0	0	0	0
chr1	37027313	37031313	NM_001370829	Vwa3b	+	0	0	1	0
chr1	37216278	37220278	NM_001282010	Cnga3	+	0	0	0	0
chr1	37217205	37221205	NM_009918	Cnga3	+	0	0	0	0
chr1	37297838	37301838	NM_001290797	Inpp4a	+	0	0	0	0
chr1	37297838	37301838	NM_030266	Inpp4a	+	0	0	0	0
chr1	37297896	37301896	NM_001374629	Inpp4a	+	0	0	0	0
chr1	37297896	37301896	NM_001374630	Inpp4a	+	0	0	0	0
chr1	37367217	37371217	NM_001290798	Inpp4a	+	0	0	0	0
chr1	37367217	37371217	NM_001290799	Inpp4a	+	0	0	0	0
chr1	37367217	37371217	NM_172971	Inpp4a	+	0	0	0	0
chr1	37428103	37432103	NM_198006	Coa5	-	0	0	0	0
chr1	37428139	37432139	NM_001356528	Unc50	+	0	-1	-1	1
chr1	37428139	37432139	NM_026123	Unc50	+	0	0	1	0
chr1	37486605	37490605	NR_024017	4930594C11Rik	-	0	0	0	0
chr1	37534404	37538404	NM_001290801	Mgat4a	-	1	0	0	0
chr1	37539016	37543016	NM_173870	Mgat4a	-	0	0	0	0
chr1	37717811	37721811	NM_028096	Cracdl	-	0	0	0	0
chr1	37853373	37857373	NM_001290721	Tsga10	-	0	0	0	0
chr1	37853373	37857373	NR_110976	Tsga10	-	0	0	0	0
chr1	37863082	37867082	NM_207228	Tsga10	-	0	0	0	0
chr1	37863298	37867298	NM_001290720	Tsga10	-	0	0	0	0
chr1	37869738	37873738	NM_001377034	Lipt1	+	0	0	0	0
chr1	37870219	37874219	NM_001037918	Lipt1	+	0	0	0	0
chr1	37870350	37874350	NM_001377029	Lipt1	+	0	0	0	0
chr1	37870350	37874350	NM_001377030	Lipt1	+	0	0	0	0
chr1	37870350	37874350	NM_001377031	Lipt1	+	0	0	0	0
chr1	37870350	37874350	NM_001377032	Lipt1	+	0	0	0	0
chr1	37870350	37874350	NM_001377033	Lipt1	+	0	0	0	0
chr1	37888411	37892411	NM_001356262	Mitd1	-	0	0	0	0
chr1	37888411	37892411	NM_026913	Mitd1	-	0	1	1	0
chr1	37888477	37892477	NM_001356482	Mrpl30	+	0	0	0	0
chr1	37888477	37892477	NM_027098	Mrpl30	+	0	0	0	0
chr1	37914493	37918493	NM_001033427	Lyg2	-	0	0	0	0
chr1	37955759	37959759	NM_027111	Lyg1	-	0	0	0	0
chr1	37995208	37999208	NM_172054	Txndc9	-	0	0	0	0
chr1	37996010	38000010	NM_198303	Eif5b	+	0	0	0	0
chr1	38127666	38131666	NM_001359287	Rev1	-	-1	1	0	0
chr1	38127666	38131666	NM_001359288	Rev1	-	1	0	0	0
chr1	38127666	38131666	NM_019570	Rev1	-	1	0	0	0
chr1	38130083	38134083	NR_151587	Gm5099	+	0	0	0	0
chr1	38625244	38629244	NM_001290814	Aff3	-	0	0	0	0
chr1	38834687	38838687	NM_001029878	Lonrf2	-	0	0	0	0
chr1	38896160	38900160	NM_001368780	Chst10	-	0	0	0	0
chr1	38896160	38900160	NM_145142	Chst10	-	0	0	0	0
chr1	38937149	38941149	NM_001011684	Nms	+	0	0	0	0
chr1	38937149	38941149	NM_001311788	Nms	+	0	0	0	0
chr1	38985814	38989814	NM_026850	Pdcl3	+	0	0	0	0
chr1	39184992	39188992	NR_105767	Mir6349	-	0	0	0	0
chr1	39192272	39196272	NM_008719	Npas2	+	0	0	0	0
chr1	39365851	39369851	NM_001252218	Rpl31	+	0	0	-1	0
chr1	39365851	39369851	NM_001252219	Rpl31	+	0	0	0	0
chr1	39365851	39369851	NM_053257	Rpl31	+	0	0	0	0
chr1	39476747	39480747	NM_018775	Tbc1d8	-	0	0	0	0
chr1	39476755	39480755	NM_001357521	Tbc1d8	-	0	0	0	0
chr1	39476755	39480755	NM_001357522	Tbc1d8	-	0	0	0	0
chr1	39533701	39537701	NM_028043	Cnot11	+	0	0	0	0
chr1	39546840	39550840	NR_028555	Snord89	-	0	0	-1	0
chr1	39575347	39579347	NM_001033135	Rnf149	-	0	0	0	0
chr1	39649182	39653182	NM_170597	Creg2	-	0	0	0	0
chr1	39718989	39722989	NM_001145660	Rfx8	-	0	0	0	0
chr1	39803332	39807332	NM_001177348	Gm3646	-	0	0	0	0
chr1	39845330	39849330	NR_040465	1700066B17Rik	-	0	0	0	0
chr1	39850443	39854443	NR_168308	Gm35600	+	0	0	0	0
chr1	39898913	39902913	NM_001252200	Map4k4	+	0	0	0	0
chr1	39898913	39902913	NM_001252201	Map4k4	+	0	0	0	0
chr1	39898913	39902913	NM_001252202	Map4k4	+	0	0	0	0
chr1	39898913	39902913	NM_008696	Map4k4	+	0	0	0	0
chr1	40082714	40086714	NM_001360801	Il1r2	+	0	0	0	0
chr1	40082714	40086714	NM_010555	Il1r2	+	0	0	0	0
chr1	40083851	40087851	NR_037980	Gm16894	-	0	0	0	0
chr1	40084093	40088093	NM_001360800	Il1r2	+	0	0	0	0
chr1	40223080	40227080	NM_008362	Il1r1	+	0	0	0	0
chr1	40264586	40268586	NM_001123382	Il1r1	+	0	0	0	0
chr1	40322589	40326589	NM_001356478	Il1rl2	+	0	0	0	0
chr1	40322589	40326589	NM_133193	Il1rl2	+	0	0	0	0
chr1	40427570	40431570	NM_001294171	Il1rl1	+	0	0	0	0
chr1	40437629	40441629	NM_001025602	Il1rl1	+	0	0	0	0
chr1	40437629	40441629	NM_010743	Il1rl1	+	0	0	0	0
chr1	40463552	40467552	NM_001161842	Il18r1	+	0	0	0	0
chr1	40463621	40467621	NM_001161843	Il18r1	+	0	0	0	0
chr1	40464006	40468006	NM_008365	Il18r1	+	0	0	0	0
chr1	40513362	40517362	NM_010553	Il18rap	+	0	0	0	0
chr1	40578227	40582227	NM_177084	Slc9a4	+	0	0	0	0
chr1	40578662	40582662	NR_168309	Gm35801	-	0	0	0	0
chr1	40578662	40582662	NR_168310	Gm35801	-	0	0	0	0
chr1	40578662	40582662	NR_168311	Gm35801	-	0	0	0	0
chr1	40679712	40683712	NM_001033289	Slc9a2	+	0	0	0	0
chr1	40788657	40792657	NM_172499	Mfsd9	-	0	0	0	0
chr1	40803601	40807601	NM_001081198	Tmem182	+	0	0	0	0
chr1	41179252	41183252	NR_040475	4930448I06Rik	-	0	0	0	0
chr1	41531311	41535311	NR_168323	Gm39631	-	0	0	0	0
chr1	42682538	42686538	NR_168293	Gm46091	+	0	0	0	0
chr1	42692825	42696825	NR_027826	Pantr1	-	0	0	0	0
chr1	42692908	42696908	NR_168292	Gm46091	+	0	0	0	0
chr1	42692908	42696908	NR_168294	Gm46091	+	0	0	0	0
chr1	42693768	42697768	NM_008900	Pou3f3	+	0	0	0	0
chr1	42698336	42702336	NR_027891	2900092D14Rik	+	0	0	0	0
chr1	42711454	42715454	NR_110495	Pantr2	-	0	0	0	0
chr1	42748712	42752712	NR_130904	Dalir	+	0	0	0	0
chr1	42849233	42853233	NM_023514	Mrps9	+	0	0	0	0
chr1	42950872	42954872	NM_053107	Gpr45	+	0	0	0	0
chr1	43090486	43094486	NM_001357299	Tgfbrap1	-	0	0	0	0
chr1	43096628	43100628	NM_001013025	Tgfbrap1	-	0	0	0	0
chr1	43096710	43100710	NM_133818	AI597479	+	0	0	0	0
chr1	43161961	43165961	NM_010212	Fhl2	-	0	0	1	0
chr1	43194761	43198761	NM_001289533	Fhl2	-	0	0	0	0
chr1	43443751	43447751	NM_010879	Nck2	+	0	0	0	0
